Family APG2,FAMFOSTER,FamCroat,Genus,Prefix,Species,Author,v/s,Varsub,Varsubauth,chg,catpan,chg2,SYNONYMS,Voucher spec,Syn ref,Syn_notes,For/Mar_RF,LF_RF,BCI_STAT,BCI cult,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Funastrum,,clausum,(Jacq.) Schltr.,,,,syn.,,,Sarcostemma clausum (Jacq.) Schult.  ,"Croat 11928, det. Stevens 2000 (Tropicos)","Stevens, W. 2001 (Fl Nic); Sarcostemma clausum accepted by Morillo, G. 1999 (Cat Ec)",,F,V,,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Gonolobus,,albomarginatus,(Pittier) Woodson,,,,syn.,,,Gonolobus allenii Woodson  ,"Wetmore & Abbe 202, det. Stevens 1991 (Tropicos)","Stevens, W. 2001 (Fl Nic)",,M,V,D,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Gonolobus,,fimbriatiflorus,(Morillo) W.D.Stevenson,,,,new,n,,"Prestonia ipomaeifolia A. DC. sensu Croat (1978), in part; Matelea fimbriatiflora Morillo  ","Croat 12411, Standley 41106, det. W.D.Stevens 2004",,"Croat 12411 (sterile, previously det. as Prestonia ipomaeifolia in Fl BCI); species not treated by Correa et al. (2004)",,,,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Macroscepis,,hirsuta,(Vahl) Schltr.,,,,syn.,,,"Matelea trianae (Decne. ex Triana) Spellman; Matalea trianae, orth. var. (Croat 1978)  ","Schmalzel 673 (MO), Steiner 81 (MO): det. W.D.Stevens 2005","Stevens, W. 2001 (Fl Nic)",,F,V,,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Marsdenia,,crassipes,Hemsl.,,,,,,,    ,,,,F,V,,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Matelea,,denticulata,(Vahl) Fontella & E.A. Schwarz,,,,syn.,,,"Matelea viridiflora (Standl.) Woodson; Matalea viridiflora, orth. var. (Croat 1978) ","Croat 6102, 12882: det. Stevens 2000 (Tropicos)","Stevens, W. 2001 (Fl Nic)",Note: Shattuck 727 is Matelea pinguifolia,F,V,,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Matelea,,pinguifolia,(Standl.) Woodson,,,,,,,"Matalea pinquifolia, orth. var. (Croat 1978)","Shattuck 612, 727: det Stevens 1999 (Tropicos)",,,F,V,,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Metalepis,,peraffinis,(Woodson) Morillo,,,,det.,,,Cynanchum cubense (A. Rich.) Woodson sensu Croat (1978)  ,Croat 11175: det. Stevens 1998 (Tropicos),"Morillo, G. 1991 (Ernstia 1: 53-59)",,F,V,,,,
Apocynaceae,Asclepiadaceae,Asclepiadaceae,Tassadia,,obovata,Decne.,,,,syn.,,,Cynanchum recurvum (Rusby) Spellman  ,"Croat 15000, det. Stevens 1982 (Tropicos)","Stevens, W. 2001 (Fl Nic)",,F,V,,,,
Asteraceae,Asteraceae,Compositae,Acmella,,brachyglossa,Cass.,,,,det.,,,Spilanthes alba L'Hér. sensu Croat (1978),"Croat 7468, 7782 (MO): det. R.Jansen 1982","Jansen, R. 1985 (Syst.Bot.Monogr. 8)","Fide Jansen 1985, A. alba is limited to S.America",M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Ayapana,,elata,(Steetz) R.M. King & H. Rob.,,,,,,,    ,"Shattuck 852, Woodworth & Vestal 600 (F): det. King & Robinson 1974",,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Baccharis,,trinervis,Pers.,,,,,,,    ,,,,M,Sw,,,,
Asteraceae,Asteraceae,Compositae,Baltimora,,recta,L.,,,,,,,    ,,,,M,Hw,D,,,
Asteraceae,Asteraceae,Compositae,Calea,,prunifolia,Kunth,,,,,n,,"Alt. name: Calea jamaicensis (L.) L. sensu lato (Harriman 2001, Correa et al. 2004) but see Note",,"Harriman, N.A. 2001 (Fl Nic); Strother, J.L. 1999 ((Fl. Chiapas 5:30-31); Pruski 1999 (Cat. Ecuador); Pruski, J. 1997 (Fl. Venez. Guayana 3)","Treated as a synonym of Calea jamaicensis by Strother (1999) and Harriman (2001) but accepted as a distinct species by Pruski (1997, 1999).",M,Sw,,,,
Asteraceae,Asteraceae,Compositae,Chaptalia,,nutans,(L.) Pol.,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Chromolaena,,odorata,(L.) R.M. King & H. Rob.,,,,,,,Eupatorium odoratum L.  ,,"Robinson, H. 1999 (Cat Ec)",Eupatorium odoratum accepted by Turner 2001 (Fl Nic),M,Sw,,,,
Asteraceae,Asteraceae,Compositae,Clibadium,,surinamense,L.,,,,,,,Clibadium asperum (Aubl.) DC.; NOT Clibadium asperum (Aubl.) DC. sensu Croat (1978) ,"Croat 12584, 12718: det Arriagada 1994 (Tropicos)","Robinson, H. 1999 (Cat Ec)",,M,Sw,,,,
Asteraceae,Asteraceae,Compositae,Clibadium,,sylvestre,(Aubl.) Baill.,,,,det.,,,Clibadium asperum (Aubl.) DC. sensu Croat (1978)  ,Croat 12283: det. Arriagada 1994 (Tropicos),,,M,Sw,,,,
Asteraceae,Asteraceae,Compositae,Conyza,,bonariensis,(L.) Cronquist,,,,,,,    ,,,,M,Hw,D,,,
Asteraceae,Asteraceae,Compositae,Conyza,,laevigata,(Rich.) Pruski,,,,syn.,n,,Conyza apurensis Kunth (Croat 1978; Correa et al. 2004)  ,"Croat 5597 (MO), Foster 970 (MO): det. G.Sancho 2003 (Tropicos)","Pruski, J. 1998 (Brittonia 50: 473-482)",,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Cyanthillium,,cinereum,(L.) H. Rob.,,,,syn.,,,Vernonia cinerea (L.) Less.  ,,"Robinson, H. 1999 (Cat Ec)",Vernonia cinerea accepted by Keeley (Fl Nic),M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Eclipta,,prostrata,(L.) L.,,,,syn.,,,Eclipta alba (L.) Hassk.  ,,"Harriman, N. 2001 (Fl Nic)",,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Elephantopus,,mollis,Kunth,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Eleutheranthera,,ruderalis,(Sw.) Sch. Bip.,var.,ruderalis,,(+var.),n(-var),,    ,,,A second variety of this species was described for northern South America in 2001.,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Emilia,,sonchifolia,(L.) DC.,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Erechtites,,hieraciifolius,(L.) Raf. ex DC.,var.,cacalioides,(Fisch. ex Spreng.) Griseb.,,n(-var.),,"Erechtites hieracifolia, orth. var. (Croat 1978)",,,,M,Hw,D,,,
Asteraceae,Asteraceae,Compositae,Fleischmannia,,microstemon,(Cass.) R.M. King. & H. Rob.,,,,,,,Eupatorium microstemon Cass.  ,,"Robinson, H. 1999 (Cat Ec)",Eupatorium microstemon accepted by Turner 2001 (Fl Nic),M,Hw,D,,,
Asteraceae,Asteraceae,Compositae,Fleischmannia,,sinclairii,(Benth.) R.M. King & H. Rob.,,,,,,,Eupatorium sinclairii Benth.  ,,,Eupatorium sinclairii accepted by Turner 2001 (Fl Nic),M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Hebeclinium,,macrophyllum,(L.) DC.,,,,,,,Eupatorium macrophyllum L.  ,,"Robinson, H. 1999 (Cat Ec)",Eupatorium  macrophyllum accepted by Turner 2001 (Fl Nic),M,Hw,D,,,
Asteraceae,Asteraceae,Compositae,Heterocondylus,,vitalbae,(DC.) R.M. King & H. Rob.,,,,,,,"Heterocondylus vitalbis, orth. var. (Croat 1978); Eupatorium vitalbae DC.  ",,"Robinson, H. 1999 (Cat Ec)",Eupatorium vitalbae accepted by Turner 2001 (Fl Nic),M,Vw,,,,
Asteraceae,Asteraceae,Compositae,Koanophyllon,,wetmorei,(B.L.Rob.) R.M. King & H. Rob.,,,,,,,    ,,,,F,S,,,,
Asteraceae,Asteraceae,Compositae,Lepidaploa,,canescens,(Kunth) H. Rob.,,,,syn.,,,Vernonia canescens Kunth  ,,"Robinson, H. 1999 (Cat Ec); Robinson, H. 1999  (SmContrBot 89:1-116)",,M,Sw,,,,
Asteraceae,Asteraceae,Compositae,Melampodium,,divaricatum,(Rich.) DC.,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Melanthera,,nivea,(L.) Small,,,,syn.,n,,Melanthera aspera (Jacq.) Small (Croat 1978; Correa et al. 2004),,"Pruski, J. 1997 (Fl Ven Guay 3); Robinson, H. 1999 (Cat Ec); Strother, J. 1999 (Fl. Chiapas); Harriman, N. 2001 (Fl Nic)",,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Mikania,,guaco,Bonpl.,,,,,,,    ,,,,M,V,D,,,
Asteraceae,Asteraceae,Compositae,Mikania,,hookeriana,DC.,,,,,,,    ,,,,M,L,D,,,
Asteraceae,Asteraceae,Compositae,Mikania,,leiostachya,Benth.,,,,,,,    ,,,,F,V,,,,
Asteraceae,Asteraceae,Compositae,Mikania,,micrantha,Kunth,,,,,,,    ,,,,M,Vw,,,,
Asteraceae,Asteraceae,Compositae,Mikania,,tonduzii,B.L. Rob.,,,,,,,    ,,,,F,L,,,,
Asteraceae,Asteraceae,Compositae,Neurolaena,,lobata,(L.) R. Br. ex Cass.,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Pluchea,,odorata,(L.) Cass.,,,,,,,    ,,,,M,Hw,D,,,
Asteraceae,Asteraceae,Compositae,Pseudelephantopus,,spicatus,(B. Juss. ex Aubl.) C.F. Baker,,,,,,,"Pseudoelephantopus spicatus, orth. var. (Croat 1978)",,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Rolandra,,fruticosa,(L.) Kuntze,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Schistocarpha,,eupatorioides,(Fenzl) Kuntze,,,,syn.,,,Schistocarpha oppositifolia (Kuntze) Rydb.  ,Aviles 16 (F): det. Lawson 1977; Schmalzel 738 (MO): det. J.Pruski 2003,"Harriman, N. 2001 (Fl Nic)",,M,Hw,D,,,
Asteraceae,Asteraceae,Compositae,Sphagneticola,,trilobata,(L.) Pruski,,,,syn.,,,Wedelia trilobata (L.) Hitchc.  ,"Croat 4264, 6866 (MO): det. J.Pruski 2002","Robinson, H. 1999 (Cat Ec); Harriman, N. 2001 (Fl Nic)",,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Spiracantha,,cornifolia,Kunth,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Synedrella,,nodiflora,(L.) Gaertn.,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Tilesia,,baccata,(L.) Pruski,,,,syn.,,,Wulffia baccata (L.) Kuntze  ,,"Robinson, H. 1999 (Cat Ec)",,F,V,,,,
Asteraceae,Asteraceae,Compositae,Tridax,,procumbens,L.,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Verbesina,,gigantea,Jacq.,,,,,,,    ,,,,M,Hw,,,,
Asteraceae,Asteraceae,Compositae,Vernonanthura,,patens,(Kunth) H. Rob.,,,,syn.,,,Vernonia patens Kunth  ,,"Robinson, H. 1999 (Cat Ec); Robinson, H. 1992 (Phytologia 73: 65-76)",Vernonia patens accepted by Keeley (Fl Nic),M,Sw,,,,
Begoniaceae,Begoniaceae,Begoniaceae,Begonia,,fischeri,Schrank,var.,fischeri,,syn.,,,Begonia patula Haw.,"Bailey 644, Shattuck 833, Woodworth & Vestal 196 (F)","Golding, J. & D. Wasshausen 2000 (Contr. US Natl Herb. 43:1-289); Correa, M. 2004 (Cat Pan)",E.L.Jacques & M.C.Mamede 2005 (Rev. Bras. Bot. 28:579-588) do not recognize varieties of B. fischeri.,M,H,D,,,
Begoniaceae,Begoniaceae,Begoniaceae,Begonia,,guaduensis, Kunth,,,,,,,    ,,,,F,H,,,,
Begoniaceae,Begoniaceae,Begoniaceae,Begonia,,hirsuta,Aubl.,,,,syn.,,,Begonia filipes Benth.  ,"Croat 6681, 12723 (MO): det. K.Burt-Utley 1985","Burt-Utley, K. 2001 (Fl Nic)",,F,H,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Adenocalymma,,arthropetiolatum,A.H. Gentry,,,,,,,    ,,,,M,L,D,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Adenocalymma,,inundatum,Mart. ex DC.,,,,det.,,,Adenocalymma apurense (Kunth) Sandwith sensu Croat (1978)  ,Foster 1116 (DUKE): fide Fl BCI,"Burger, W. & A. Gentry 2000 (Fl CR: Fieldiana 41:77-161)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Amphilophium,,paniculatum,(L.)  Kunth,var.,molle,(Schlecht. & Cham.) Standl.,(+var.),,,,,,,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Anemopaegma,,chrysoleucum,(Kunth) Sandwith,,,,,,,    ,Croat 12683: det Burger 2000 (Tropicos),,,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Arrabidaea,,candicans,(Rich.) DC.,,,,,,,"New name in press: Fridericia candicans (Rich.) L.G. Lohmann, ined.",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Arrabidaea,,chica,(Humb. & Bonpl.) B. Verl.,,,,,,,"New name in press: Fridericia chica (Bonpl.) L.G. Lohmann, ined.",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Arrabidaea,,corallina,(Jacq.) Sandwith,,,,,,,"New name in press: Fridericia dichotoma (Jacq.) L.G. Lohmann, ined.",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",non Arrabidaea dichotoma (Vell.) Bureau,M,L,D,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Arrabidaea,,florida,DC.,,,,,,,"New name in press: Fridericia florida (DC.) L.G. Lohmann, ined.",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Arrabidaea,,patellifera,(Schltdl.) Sandwith,,,,,,,"New name in press: Fridericia patellifera (Schltdl.) L.G. Lohmann, ined.",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Arrabidaea,,verrucosa,(Standl.) A.H. Gentry,,,,,,,"New name in press: Fridericia schumanniana (Loes.) L.G. Lohmann, ined.",Croat 15564: det Burger 2000 (Tropicos),"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",non Arrabidaea schumanniana Huber,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Callichlamys,,latifolia,(Rich.) K. Schum.,,,,,,,    ,,,,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Ceratophytum,,tetragonolobum,(Jacq.) Sprague & Sandwith,,,,,,,"New name in press: Tanaecium tetragonolobum (Jacq.) L.G.Lohmann, in press",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Clytostoma,,binatum,(Thunb.) Sandwith,,,,,,,To revert to Bignonia binata Thunb. (L.G. Lohmann in press),,"New treatment fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Cydista,,aequinoctialis,(L.) Miers,var.,aequinoctialis,,(+var.),,,To revert to Bignonia aequinoctialis L. (L.G. Lohmann in press),Croat 5208: det Hauk 1997 (Tropicos),"New treatment fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Cydista,,heterophylla,Seibert,,,,,,,To be transferred to Bignonia (L.G. Lohmann in press),Croat 8206: det Hauk 1997 (Tropicos),"New treatment fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)","As Bignonia heterophylla (Seibert) L.G.Lohmann ined., non B. heterophylla Willd., in <www.iplants.org>; however this name may be illegitimate (Art. 52.1, Note 1, of Vienna Code)",F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Handroanthus,,guayacan,(Seem.) S.Grose,,,,syn.,n,,Tabebuia guayacan (Seem.) Hemsl. (Croat 1978; Correa et al. 2004),,"Grose, S. & R. Olmstead 2007 (Syst. Bot. 32: 660-670)",,F,T,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Handroanthus,,ochracea,(Cham.) Mattos,ssp.,neochrysanthus,(A.H. Gentry) S.Grose,syn.,n,,Tabebuia ochracea (Cham.) Standl. spp. neochrysantha (A.H.Gentry) A.H.Gentry (Croat 1978; Correa et al. 2004),,"Grose, S. & R. Olmstead 2007 (Syst. Bot. 32: 660-670)",,F,M,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Jacaranda,,copaia,(Aubl.) D. Don,ssp.,spectabilis,(DC.) A.H. Gentry,(+ssp.),,,,Croat 7888: TROPICOS 2006,,,F,T,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Macfadyena,,unguis-cati,(L.) A.H. Gentry,,,,,,,"New name in press: Dolichandra unguis-cati (L.) L.G.Lohmann, in press","Croat 10224, 14062, 14645: det Cabral 1999 (Tropicos)","New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Mansoa,,kerere,(Aubl.) A.H. Gentry,,,,syn.,,,Pachyptera kerere (Aubl.) Sandwith (Croat 1978); to revert to Pachyptera kerere (L.G.Lohmann in press) ,Croat 11085: det Burger 1995 (Tropicos),"Burger, W. & A. Gentry 2000 (Fl CR: Fieldiana 41:77-161) use Mansoa kerere; returned to Pachyptera by Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Mansoa,,verrucifera,(Schltdl.) A.H. Gentry,,,,new,,,Onohualcoa verrucifera (Schltdl.) A.H. Gentry  ,Foster 2962 (SCZ?) - fallen fruit,"Burger, W. & A. Gentry 2000 (Fl CR: Fieldiana 41:77-161)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Martinella,,obovata,(Kunth) Bureau & K. Schum.,,,,,,,    ,,,,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Paragonia,,pyramidata,(Rich.) Bureau,,,,,,,"New name in press: Tanaecium pyramidatum (Rich.) L.G.Lohmann, in press",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Phryganocydia,,corymbosa,(Vent.) Bureau ex K. Schum.,,,,,,,"New name in press: Bignonia corymbosa (Vent.) L.G.Lohmann, in press",,"New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Pithecoctenium,,crucigerum,(L.) A.H. Gentry,,,,,,,"New name in press: Amphilophium crucigerum (L.) L.G.Lohman, in press","Croat 5804, 7022: det Pool 2002 (Tropicos)","New name fide Lohmann, L.G. & Ulloa Ulloa, C. 2007 (Bignoniaceae in iPlants prototype Checklist <www.iplants.org> 12 Feb 2007)",,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Pleonotoma,,variabilis,(Jacq.) Miers,,,,,,,    ,,,,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Spathodea,,campanulata,P. Beauv.,,,,,,,    ,,,,M,M,,C,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Stizophyllum,,inaequilaterum,Bureau & K.Schum.,,,,new (id?),,,,"F.Putz 815 (SCZ), det. F.Putz; recorded from 50 ha plot fide L.Comita 2005 (pers. comm.)",,"Croat 11911, 12212A - det. S. inaequilaterum in TROPICOS is an error; these are S. riparium",,,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Stizophyllum,,riparium,(Kunth) Sandwith,,,,,,,    ,,,,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Tabebuia,,rosea,(Bertol.) A.DC.,,,,,,,    ,Croat 8394: det Burger 2000 (Tropicos),,,F,T,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Tynanthus,,croatianus,A.H. Gentry,,,,,,,"Tynnanthus croatianus, orth. var. (Croat 1978)","Croat 11927, 13975: det Burger 2000 (Tropicos)",,,F,L,,,,
Bignoniaceae,Bignoniaceae,Bignoniaceae,Xylophragma,,seemannianum,(Kuntze) Sandwith,,,,,,,    ,,,,F,L,,,,
Bixaceae,Bixaceae,Bixaceae,Bixa,,orellana,L.,,,,new,,,"Bixa orellana L. sensu Croat (1978), in part?",Wetmore & Abbe 103 (MO): det. D.Baer 1976,,,M,Uw,,C,,
Bixaceae,Bixaceae,Bixaceae,Bixa,,urucurana,Willd.,,,,det.,,,"Bixa orellana L. sensu Croat (1978), in part","Shattuck 703 (F,MO): det. D.Baer 1976",,,,,,,,
Bixaceae,Bixaceae,Cochlospermaceae,Cochlospermum,,vitifolium,(Willd.) Spreng.,,,,,,,    ,,,Cochlospermaceae in Correa et al. (2004),F,U,,,,
Malvaceae,Bombacaceae,Bombacaceae,Cavanillesia,,platanifolia,(Bonpl.) Kunth.,,,,,,,    ,,,,F,T,,,,
Malvaceae,Bombacaceae,Bombacaceae,Ceiba,,pentandra,(L.) Gaertn.,,,,,,,    ,,,,F,T,,,,
Malvaceae,Bombacaceae,Bombacaceae,Ochroma,,pyramidale,(Cav. ex Lam.) Urb.,,,,,,,    ,,,,F,M,,,,
Malvaceae,Bombacaceae,Bombacaceae,Pachira,,aquatica,Aubl.,,,,,,,    ,,,,M,Ma,,,,
Malvaceae,Bombacaceae,Bombacaceae,Pachira,,quinata,(Jacq.) W.S. Alverson,,,,syn.,,,Bombacopsis quinata (Jacq.) Dugand (Croat 1978); Pochota quinata (Jacq.) W.D. Stevens (1987)     ,,"Gentry, A. & W. Alverson 2001 (Fl Nic); Alverson, W. 1994 (Novon 4:3-8)",,F,T,,,,
Malvaceae,Bombacaceae,Bombacaceae,Pachira,,sessilis,Benth.,,,,syn.,,,Bombacopsis sessilis (Benth.) Pittier (Croat 1978); Pochota sessilis (Benth.) W.D. Stevens (1987),,"Alverson, W. 1994 (Novon 4: 3-8); Cascante-Marín, A. 1997 (Brenesia 47-48: 17-36)",,F,T,,,,
Malvaceae,Bombacaceae,Bombacaceae,Pseudobombax,,septenatum,(Jacq.) Dugand,,,,,,,    ,,,,F,T,,,,
Malvaceae,Bombacaceae,Bombacaceae,Quararibea,,asterolepis,Pittier,,,,,,,    ,,,,F,T,,,,
Malvaceae,Bombacaceae,Bombacaceae,Quararibea,,pterocalyx,Hemsl.,,,,,,,    ,,,,F,U,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Cordia,,alliodora,(Ruiz & Pav.) Oken,,,,,,,    ,,,,F,M,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Cordia,,bicolor,A. DC.,,,,,,,    ,,,,F,M,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Cordia,,lasiocalyx,Pittier,,,,,,,    ,,,,F,M,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Cordia,,panamensis,L. Riley,,,,,,,    ,,,,F,U,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Cordia,,spinescens,L.,,,,,,,    ,,,,F,S,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Heliotropium,,indicum,L.,,,,,,,    ,,,,M,Hw,D,,,
Boraginaceae,Boraginaceae,Boraginaceae,Tournefortia,,angustiflora,Ruiz & Pav.,,,,,,,    ,,,,F,L,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Tournefortia,,bicolor,Sw.,,,,,,,    ,,,,F,L,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Tournefortia,,cuspidata,Kunth,,,,,,,    ,,,,F,L,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Tournefortia,,hirsutissima,L.,,,,,,,    ,,,,F,L,,,,
Boraginaceae,Boraginaceae,Boraginaceae,Tournefortia,,maculata,Jacq.,,,,,,,    ,,,,M,L,D,,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Aechmea,,magdalenae,(André) André ex Baker,,,,,,,    ,,,,F,H,,,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Aechmea,,nudicaulis,(L.) Griseb.,var.,nudicaulis,,BCNM,n(-var),,,"G. Zotz 2006 (pers. comm.), reported on BCNM","Morales, J.F. 2003 (Man CR)",Morales (2003) recognizes var. nudicaulis,,,,,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Aechmea,,pubescens,Baker,,,,,,,    ,,,,F,E,,,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Aechmea,,setigera,Mart. ex Schult. & Schult. f.,,,,,,,    ,,,,F,E,,,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Aechmea,,tillandsioides,(Mart. ex Schult. & Schult. f.) Baker,,,,syn. (-var.),,,Aechmea tillandsioides (Mart. ex Schult. & Schult. f.) Baker var. kienastii (E.Morren ex Mez) L.B.Sm. (Croat 1978); Platyaechmea tillandsioides (Mart. ex Schult. & Schult. f.) L. B. Sm. & W. J. Kress var. kienastii (E.Morren ex Mez) L. B. Sm. & W.J. Kress (1990),,"Utley, J. & K. Burt-Utley 2001 (Fl Nic); Luther, H. 1999 (Cat Ec); Utley, J. 1994 (Fl Meso 6)",,F,E,,,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Ananas,,comosus,(L.) Merr.,,,,,,,    ,,,,M,H,,C,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Billbergia,,macrolepis,L.B.Sm.,,,,,,,    ,,,,F,E,,,,
Bromeliaceae,Bromeliaceae,Bromeliaceae,Catopsis,,sessiliflora,(Ruiz & Pav.) Mez,,,,,,,    ,"Croat 5230, 8263, Shattuck 604: det Palaci 1995 (Tropicos)",,,F,E,,,,
