Family APG2,FAMFOSTER,FamCroat,Genus,Prefix,Species,Author,v/s,Varsub,Varsubauth,chg,catpan,chg2,SYNONYMS,Voucher spec,Syn ref,Syn_notes,For/Mar_RF,LF_RF,BCI_STAT,BCI cult,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Campyloneurum,,costatum,(Kunze) C.Presl,,,,syn.,,,Polypodium costatum Kunze,,"León, B. 1995 (Fl Meso 1)",,F,E,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Campyloneurum,,phyllitidis,(L.) C.Presl,,,,syn. (-),,,"Polypodium phyllitidis L. sensu Croat (1978), in part","Croat 14875 (MO), H.Kennedy 1905 (F,MO): det. B.Leon","León, B. 1995 (Fl Meso 1)",,F,E,,,,
Pteridaceae,~Pteridophyta,Parkeriaceae,Ceratopteris,,pteridoides,(Hook.) Hieron.,,,,,,,,,,,,Ea,D,,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Ctenitis,,sloanei,(Poepp. ex Spreng.) C.V. Morton,,,,,,,,,,,F,H,D,,,
Cyatheaceae,~Pteridophyta,Cyatheaceae,Cyathea,,bicrenata,Liebm.,,,,syn.(?),,,"Trichipteris trichiata (Max.) Tryon; Trichopteris trichiata, orth. var. (Croat 1978)",,"Moran, R. 1995 (Fl Meso 1)",Jørgensen 1999 (Cat Ec) accepts C. trichiata distinct from C. bicrenata,F,S,,,,
Cyatheaceae,~Pteridophyta,Cyatheaceae,Cyathea,,microdonta,(Desv.) Domin,,,,syn.,,,"Trichipteris microdonta (Desv.) Tryon; Trichopteris microdonta, orth var. (Croat 1978)",,"Moran, R. 1995 (Fl Meso 1)",,F,S,,,,
Cyatheaceae,~Pteridophyta,Cyatheaceae,Cyathea,,petiolata,(Hook.) R.M. Tryon,,,,syn.,,,Cnemidaria petiolata (Hook.) Copel.,,"Moran, R. 1995 (Fl Meso 1)",,F,S,,,,
Lomariopsidaceae,~Pteridophyta,Polypodiaceae,Cyclopeltis,,semicordata,(Sw.) J.Sm.,,,,,,,,,,,F,H,,,,
Marattiaceae,~Pteridophyta,Marattiaceae,Danaea,,nodosa,(L.) Sm.,,,,,,,,,,,F,H,,,,
Dennstaedtiaceae,~Pteridophyta,Polypodiaceae,Dennstaedtia,,cicutaria,(Sw.) T.Moore,,,,,,,,,,,F,H,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Dicranoglossum,,panamense,(C. Chr.) L.D.Gómez,,,,,,,,,,,F,E,,,,
Gleicheniaceae,~Pteridophyta,Gleicheniaceae,Dicranopteris,,flexuosa,(Schrad.) Underw.,,,,,,,,,,,,Vw,D,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Didymoglossum,,ekmanii,(Wess.-Boer) Ebihara & Dubuisson,,,,syn.,n,,Trichomanes ekmani Wess.-Boer. (Croat 1978; Correa et al. 2004),Croat 11250,"Ebihara, A. et al. 2006 (Blumea 51(2): 221-280; Taxonomic revision of Hymenophyllaceae)","Trichomanes ekmanii sensu Croat (1978) may have been Trichomanes godmanii, as to voucher. The cited voucher 16515 is an erroneous number, perhaps 16510a -- originally det. T. ekmanii but later changed by Pacheco (1989) to T. godmanii",F,E,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Didymoglossum,,godmanii,(Hook.) Ebihara & Dubuisson,,,,syn.,n,,Trichomanes godmanii Hook. (Croat 1978; Correa et al. 2004),"Croat 16207, non Croat 16202; Aviles 18 (F), Shattuck 254 (F)","Ebihara, A. et al. 2006 (Blumea 51(2): 221-280; Taxonomic revision of Hymenophyllaceae)",,F,E,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Didymoglossum,,kapplerianum,(Sturm) Ebihara & Dubuisson,,,,syn.,n,,Trichomanes kapplerianum Sturm (Croat 1978; Correa et al. 2004),Seaverns 7 (F): det. Pacheco 1989 (as Trichomanes),"Ebihara, A. et al. 2006 (Blumea 51(2): 221-280; Taxonomic revision of Hymenophyllaceae)",,F,E,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Didymoglossum,,krausii,(Hook. & Grev.) C.Presl,,,,syn.,n,,Trichomanes krausii Hook. & Grev. (Croat 1978; Correa et al. 2004),"Shattuck 1085, Starry 89 (F)","Ebihara, A. et al. 2006 (Blumea 51(2): 221-280; Taxonomic revision of Hymenophyllaceae)",,F,E,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Didymoglossum,,ovale,E.Fourn.,,,,syn.,n,,Trichomanes ovale (E.Fourn.) Wess.-Boer (Croat 1978; Correa et al. 2004),,"Ebihara, A. et al. 2006 (Blumea 51(2): 221-280; Taxonomic revision of Hymenophyllaceae)",,F,E,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Didymoglossum,,punctatum,(Poir.) Desv.,ssp.,sphenoides,(Kunze) comb. ined.,syn.,n,,Trichomanes punctatum subsp. sphenoides (Kunze) Wess.-Boer (Croat 1978; Correa et al. 2004),,"Ebihara, A. et al. 2006 (Blumea 51(2): 221-280; Taxonomic revision of Hymenophyllaceae)",Subspecies comb. ined.; cited as such by A.Smith 2006 (pers. comm.),F,E,,,,
Woodsiaceae,~Pteridophyta,Polypodiaceae,Diplazium,,grandifolium,(Sw.)Sw.,,,,,,,,,,,F,H,,,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Dryopteris,,patula,(Sw.) Underw.,,,,new,,,"Ctenitis protensa var. funesta (Kunze) Proctor sensu Croat (1978), in part","Croat 12664, det. R.Moran 2001",,,F,E,,,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Elaphoglossum,,hayesii,(Mett. ex Kuhn) Maxon,,,,,,,,,,,,E,D,,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Elaphoglossum,,herminieri,(Bory ex Fée) T.Moore,,,,,,,,,,,F,E,,,,
