Species	Sp (Croat 1978)	Family	Fam (Croat 1978)	Life form	Lf (Croat 1978)	Source for additions
Gongora fulva	Gongora tricolor	Orchidaceae		e	E	
Gongora quinquenervis		Orchidaceae		e	E	
Guarianthe patinii	Cattleya patinii	Orchidaceae		e	E	
Heterotaxis sessilis	Maxillaria crassifolia	Orchidaceae		e	E	
Ionopsis satyrioides		Orchidaceae		e	E	
Ionopsis utricularioides		Orchidaceae		e	E	
Leochilus scriptus		Orchidaceae		e	E	
Liparis nervosa	Liparis elata	Orchidaceae		e	E	
Lockhartia acuta		Orchidaceae		e	E	
Lockhartia pittieri		Orchidaceae		e	E	
Lycaste powellii		Orchidaceae		e	E	
Masdesvallia livingstoneana		Orchidaceae		e	E	
Maxillaria porrecta	**	Orchidaceae		e		[Croat 10107]
Maxillaria powelli		Orchidaceae		e	E	
Maxillariella acervata	**	Orchidaceae		e		Einzmann et al. (2015)
Maxillariella alba	Maxillaria alba	Orchidaceae		e	E	
Maxillariella variabilis	Maxillaria variabilis	Orchidaceae		e	E	
Mormodes powelli		Orchidaceae		e	E	
Myoxanthus trachychlamys	Pleurothallis trachychlamys	Orchidaceae		e	E	
Notylia albida		Orchidaceae		e	E	
Notylia barkeri		Orchidaceae		e	E	
Notylia pentachne		Orchidaceae		e	E	
Oncidium stipitatum		Orchidaceae		e	E	
Ornithocephalus bicornis		Orchidaceae		e	E	
Ornithocephalus powellii		Orchidaceae		e	E	
Polystachya foliosa		Orchidaceae		e	E	
Polystachya masayensis		Orchidaceae		e	E	
Prosthechea aemula	**	Orchidaceae		e		[Foster s.n.]
Prosthechea chacaoensis	Encyclia chacaoensis	Orchidaceae		e	E	
Prosthechea chimborazoensis	Encyclia chimborazoensis	Orchidaceae		e	E	
Prosthechea pygmaea	Encyclia triptera	Orchidaceae		e	E	
Rhetinantha friedrichsthalii	Maxillaria friedrichsthalii	Orchidaceae		e	E	
Rodriguezia lanceolata	**	Orchidaceae		e		Zotz et al. (1999)
Rossioglossum ampliatum	Oncidium ampliatum	Orchidaceae		e	E	
Scaphyglottis graminifolia		Orchidaceae		e	E	
Scaphyglottis longicaulis		Orchidaceae		e	E	
Scaphyglottis prolifera		Orchidaceae		e	E	
Sievekingia suavis		Orchidaceae		e	E	
Sobralia bletiae	Sobralia suaveolens	Orchidaceae		e	E	
Sobralia decora	Sobralia panamensis	Orchidaceae		e	E	
Sobralia fragans		Orchidaceae		e	E	
Sobralia rolfeana		Orchidaceae		e	E	
Specklinia brighamii 	Pleurothallis brighamii	Orchidaceae		e	E	
Specklinia grobyi	Pleurothallis grobyi	Orchidaceae		e	E	
Stelis crescentiicola		Orchidaceae		e	E	
Trichocentrum capistratum		Orchidaceae		e	E	
Trichopilia maculata		Orchidaceae		e	E	
Trichopilia subulata		Orchidaceae		e	E	
