Species Code (Mnemonic),Family,Genus,Species,Authority,Family (former),Genus (former),Species (former),Authority (former)
ABUTRA,Menispermaceae,Abuta,racemosa,(Thunb.) Triana & Planch.,NA,NA,NA,NA
ADE2AD,Melastomataceae,Adelobotrys,adscendens,(Sw.) Triana,NA,NA,NA,NA
MASCHI,Malpighiaceae,Adelphia,hiraea,(Gaertn.) W.R. Anderson,NA,Mascagnia,hiraea,(Gaertn.») Fawc. y Rendle)
AEGICE,Lamiaceae,Aegiphila,cephalophora,Standl. ,Verbenaceae,NA,NA,NA
AEGIEL,Lamiaceae,Aegiphila,elata,Sw.,NA,NA,NA,NA
PIT2CR,Bignoniaceae,Amphilophium,crucigerum ,(L.) L.G. Lohmann,NA,Pithecoctenium,crucigerum,A.H. Gentry
AMPHPA,Bignoniaceae,Amphilophium,paniculatum,(L.) Kunth ,NA,NA,NA,NA
ANTHPA,Celastraceae,Anthodon,panamense,A.C. Sm.,NA,NA,NA,NA
ARISCO,Aristolochiaceae,Aristolochia,cordiflora,Mutis ex Cunt,NA,NA,NA,NA
ARISTO,Aristolochiaceae,Aristolochia,tonduzii,O.C. Schmidt,NA,NA,NA,NA
BYTTAC,Sterculiaceae,Ayenia,aculeata,(Jacq.) Christenh. & Byng,NA,Byttneria,aculeata,(Jacq.) Jacq.
CYDIHE,Bignoniaceae,Bignonia,neoheterophylla,L.G. Lohmann,NA,Cydista,heterophylla,Seibert
PHRYCO,Bignoniaceae,Bignonia ,corymbosa ,(Vent.) L.G. Lohmann,NA,Phryganocydia,corymbosa,Bureau ex K. Schum.
BONATR,Convolvulaceae,Bonamia,trichantha,Hallier f.,NA,NA,NA,NA
BANICO,Malpighiaceae,Bronwenia ,cornifolia,(Kunth) W.R.Anderson & C.Davis,NA,Banisteriopsis,cornifolia,(Kunth) C.B. Rob.
CALLLA,Bignoniaceae,Callichlamys,latifolia,(Rich.) K. Schum.,NA,NA,NA,NA
CAYAGR,Cucurbitaceae,Cayaponia,granatensis,Cogn.,NA,NA,NA,NA
CELTIG,Ulmaceae,Celtis,iguanaea,(Jacq.) Sarg.,NA,NA,NA,NA
CHIOAL,Rubiaceae,Chiococca,alba,(L.) Hitchc. ,NA,NA,NA,NA
CHOMPS,Rubiaceae,Chomelia,psilocarpa,Dwyer & M.V. Hayden,NA,NA,NA,NA
CHONTO,Menispermaceae,Chondodendron,tomentosum,Ruiz & Pav.,NA,NA,NA,NA
CISSER,Vitaceae,Cissus,erosa,Rico.  ,NA,NA,NA,NA
CISSMI,Vitaceae,Cissus,microcarpa,Vahl  ,NA,NA,NA,NA
CLITJA,Fabaceae,Clitoria,javitensis,(Kunth) Benth.,NA,NA,NA,NA
CNESRU,Connaraceae,Cnestidium,rufescens,Planch.,NA,NA,NA,NA
COCCP1,Polygonaceae,Coccoloba,excelsa,Benth.,NA,Coccoloba,parimensis,Benth.
COMBDE,Combretaceae,Combretum,decandrum,Jacq.,NA,NA,NA,NA
COMBFR,Combretaceae,Combretum,fruticosum,(Loefl.) Stuntz,NA,NA,NA,NA
COMBLA,Combretaceae,Combretum,laxum,Jacq.,NA,NA,NA,NA
CONNPA,Connaraceae,Connarus,panamensis,Griseb.,NA,NA,NA,NA
CONNTU,Connaraceae,Connarus,turczaninowii,Triana & Planch,NA,NA,NA,NA
CYDIAE,Bignoniaceae,Cydista,aequinoctialis,(L.) Miers,NA,NA,NA,NA
DALEDI,Euphorbiaceae,Dalechampia ,dioscoreifolia,Poepp.,NA,NA,NA,NA
DAVINI,Dilleniaceae,Davilla,nitida,(Vahl) Kubitzki,NA,NA,NA,NA
DAVIKU,Dilleniaceae,Davilla ,kunthii,A.St.-Hil,NA,NA,NA,NA
DES1OR,Arecaceae,Desmoncus,orthacanthos,Mart.,NA,NA,NA,NA
DIO1HA,Dioscoreaceae,Dioscorea,haenkeana,C. Presl,NA,NA,NA,NA
MACFUN,Bignoniaceae,Dolichandra,unguis-cati,(L.) L.G. Lohmann,NA,Macfadyena,unguis-cati,(L) A.H. Gentry
DOLIDE,Dilleniaceae,Doliocarpus,dentatus,(Aubl.) Standl.,NA,NA,NA,NA
DOLIMA,Dilleniaceae,Doliocarpus,major,J.F. Gmel.,NA,NA,NA,NA
DOLIMU,Dilleniaceae,Doliocarpus,multiflorus,Standl.,NA,NA,NA,NA
DOLIOL,Dilleniaceae,Doliocarpus,olivaceus,Sprague & R.O. Williams ex Standl.,NA,NA,NA,NA
ENTAMO,Fabaceae,Entada,gigas,(L.) Fawc. & Rendle ,NA,NA,NA,NA
ENTAPO,Fabaceae,Entada,polystachya,(L.) DC,NA,NA,NA,NA
ADE4PO,Fabaceae,Entada ,polystachya ,(L.) DC,NA,Entadopsis,polystachya,(L.) Britton
FEVICO,Cucurbitaceae,Fevillea,cordifolia,L.,NA,NA,NA,NA
FORSVI,Apocynaceae,Forsteronia,acouci ,(Aubl.) A.DC,NA,Forsteronia,viridescens,S.F.Blake
FORSMY,Apocynaceae,Forsteronia,myriantha,Donn. Sm. ,NA,NA,NA,NA
ARRAPA,Bignoniaceae,Fridericia,patellifera ,(Schltdl.) L.G. Lohmann,NA,Arrabidaea,patellifera,Sandwith
ARRACA,Bignoniaceae,Fridericia ,candicans,(Rich.) L.G. Lohmann,NA,Arrabidaea,candicans,DC.
ARRACH,Bignoniaceae,Fridericia ,chica,L.G. Lohmann,NA,Arrabidaea,chica,B. Verl.
ARRAFL,Bignoniaceae,Fridericia ,florida,(DC.) L.G. Lohmann,NA,Arrabidaea,florida,DC.
ARRAVE,Bignoniaceae,Fridericia ,schumanniana,(Loes.) L.G. Lohmann,NA,Arrabidaea,verrucosa,(Standl.) A.H. Gentry
GNETLE,Gnetaceae,Gnetum,leyboldii,Tul.,NA,NA,NA,NA
GOUACO,Rhamnaceae,Gouania,colombiana,Suess. ,NA,NA,NA,NA
PSIGBI,Cucurbitaceae,Gurania,bignoniacea,(Poepp. & Endl.) C. Jeffrey,NA,Psiguria ,bignoniacea,(Poepp. & Endl.) Wunderlin
GURAMA,Cucurbitaceae,Gurania,makoyana,(Lem.) Cogn.,NA,NA,NA,NA
TOURCU,Boraginaceae,Heliotropium ,cuspidatum,(Kunth) Feuillet,NA,Tournefortia,cuspidata,Kunth
TOURHI,Boraginaceae,Heliotropium  ,verdcourtii  ,Craven,NA,Tournefortia,hirsutissima,L.
HET1VI,Asteraceae,Heterocondylus,vitalbae,(DC.) R.M. King & H. Rob.,NA,NA,NA,NA
HETELA,Malpighiaceae,Heteropterys,laurifolia,(L.) A. Juss.,NA,NA,NA,NA
HIPPVO,Celastraceae,Hippocratea,volubilis,L. ,NA,NA,NA,NA
HIRAFA,Malpighiaceae,Hiraea,fagifolia,(DC.) A. Juss.,NA,NA,NA,NA
HIRAFO,Malpighiaceae,Hiraea,faginea,(Sw.) Nied.,NA,NA,NA,NA
HIRAGR,Malpighiaceae,Hiraea,grandifolia,Standl. & L.O. Williams,NA,NA,NA,NA
HIRARE,Malpighiaceae,Hiraea,reclinata,Jacq.,NA,NA,NA,NA
HIRAQU,Malpighiaceae,Hiraea,smilacina,Standl. ,NA,NA,NA,NA
HYLEPR,Celastraceae,Hylenaea,praecelsa,(Miers) A.C. Sm.,Hippocrateaceae,NA,NA,NA
IPOMPH,Convolvulaceae,Ipomoea,phillomega,(Vell.) Casa,NA,NA,NA,NA
JUSTGR,Acanthaceae,Justicia,graciliflora,(Standl.) D.N.Gibson,NA,NA,NA,NA
MACHFL,Fabaceae,Machaerium,floribundum,Benth.,NA,NA,NA,NA
MACHIS,Fabaceae,Machaerium,isadelphum,(E. Mey.) Amshoff,NA,NA,NA,NA
MACHM1,Fabaceae,Machaerium,isadelphum,(E. Mey.) Amshoff,NA,Machaerium,microphyllum,(E. Mey.) Standl. 
MACHKE,Fabaceae,Machaerium,kegelii,Meisn,NA,NA,NA,NA
MACHM2,Fabaceae,Machaerium,milleflorum,Pittier,NA,NA,NA,NA
MACHAR,Fabaceae,Machaerium,pittieri,J. F. Macbr. ,NA,Machaerium,arborium,(Jacq.) Benth.
MACHRI,Fabaceae,Machaerium,riparium,Brandegee,NA,NA,NA,NA
MACHSE,Fabaceae,Machaerium,seemannii,Benth. ex Seem.,NA,NA,NA,NA
DIOCRE,Fabaceae,Macropsychanthus,comosus,(G.Mey.) L.P.Queiroz & Snak,NA,Dioclea ,reflexa,Hook.f.
DIOCWI,Fabaceae,Macropsychanthus ,wilsonii,Standl. L.P. Queiroz & Snak,NA,Dioclea,wilsonii,Standl.
MANSVE,Bignoniaceae,Mansoa,verrucifera,(Schltdl.) A.H. Gentry  ,NA,NA,NA,NA
MAR2PA,Convolvulaceae,Maripa,panamensis,Hemsl.,NA,NA,NA,NA
MARSCR,Asclepiadaceae,Marsdenia ,crassipes,Hemsl.,NA,NA,NA,NA
MARTOB,Bignoniaceae,Martinella,obovata,(Kunth) Bureau & K. Schum. ,NA,NA,NA,NA
MASCDI,Malpighiaceae,Mascagnia,divaricata,(Kunth) Nied.,NA,NA,NA,NA
MASCNE,Malpighiaceae,Mascagnia,ovatifolia,(Kunth) Griseb. ,NA,NA,NA,NA
MENDGR,Acanthaceae,Mendoncia,costaricana,Oerst.,NA,Mendoncia,gracilis,Turrill
MENDLI,Acanthaceae,Mendoncia,litoralis,Leonard,NA,NA,NA,NA
MESETR,Apocynaceae,Mesechites,trifidus,(Jacq.) Müll. Arg.,NA,NA,NA,NA
MIKAHO,Asteraceae,Mikania,hookeriana,DC.,NA,NA,NA,NA
MIKALE,Asteraceae,Mikania,leiostachya,Benth.,NA,NA,NA,NA
MIKAGU,Asteraceae,Mikania ,guaco,Bonpl.,NA,NA,NA,NA
MIKATO,Asteraceae,Mikania ,tonduzii,B.L.Rob.,NA,NA,NA,NA
ODO1PU,Apocynaceae,Odontadenia,puncticulosa,(Rich.) Pulle,NA,Forsteronia,puncticulosa,(Rich.) Pulle
ODO1MA,Apocynaceae,Odontadenia,semidigyna,(P.J.Bergius) J.F.Morales,NA,Odontadenia,macrantha,(Willd. ex Roem. & Schult.) Markgr. 
OMPHDI,Euphorbiaceae,Omphalea,diandra,L.,NA,NA,NA,NA
MANSKE,Bignoniaceae,Pachyptera,kerere,(Aubl.) Sandwith,NA,Mansoa,kerere,(Aubl.) A.H. Gentry
PASSAM,Passifloriaceae,Passiflora,ambigua,Hemsl.,NA,NA,NA,NA
PASSPA,Passifloriaceae,Passiflora,holosericea,L.,NA,Passiflora ,reticulata,c.Wright
PASSNI,Passifloriaceae,Passiflora,nitida,Kunth,NA,NA,NA,NA
PASSVI,Passifloriaceae,Passiflora,vitifolia,Kunth,NA,NA,NA,NA
PAULBA,Sapindaceae,Paullinia,baileyi,Standl.,NA,NA,NA,NA
PAULBR,Sapindaceae,Paullinia,bracteosa,Radlk.,NA,NA,NA,NA
PAULFI,Sapindaceae,Paullinia,clavigera var. clavigera,Schltdl.,NA,Paullinia,fibrigera,Radlk.
PAULG1,Sapindaceae,Paullinia,fuscescens,Kunth,NA,Paullinia,fuscescens var. glabrata,Croat
PAULFU,Sapindaceae,Paullinia,fuscescens,Kunth ,NA,NA,NA,NA
PAULG2,Sapindaceae,Paullinia,glomerulosa,Radlk.,NA,NA,NA,NA
PAULMA,Sapindaceae,Paullinia,mallophylla,Radlk.,NA,NA,NA,NA
PAULPI,Sapindaceae,Paullinia,pinnata,L.,NA,NA,NA,NA
PAULPT,Sapindaceae,Paullinia,pterocarpa,Triana & Planch.,NA,NA,NA,NA
PAULRU,Sapindaceae,Paullinia,rugosa,Benth. ex Radlk.,NA,NA,NA,NA
PAULTU,Sapindaceae,Paullinia,turbacensis,Kunth,NA,NA,NA,NA
PERIPR,Celastraceae,Peritassa,pruinosa,(Seem.) A.C. Sm.,Hippocrateaceae,NA,NA,NA
PETRAS,Verbenaceae,Petrea,volubilis,L.,NA,NA,NA,NA
PIPEMU,Piperaceae,Piper,multiplinervium,C. DC.,NA,NA,NA,NA
PISOAC,Nyctaginaceae,Pisonia,aculeata,L.,NA,NA,NA,NA
PLEOVA,Bignoniaceae,Pleonotoma,variabilis,(Jacq.) Miers ,NA,NA,NA,NA
PRESOB,Apocynaceae,Prestonia,lenticellata,A.H. Gentry,NA,NA,NA,NA
PRESME,Apocynaceae,Prestonia,mexicana,A.DC.,NA,NA,NA,NA
PRESPO,Apocynaceae,Prestonia,portobellensis,(Beurl.) Woodson,NA,NA,NA,NA
PRESAC,Apocynaceae,Prestonia,quinquangularis,(Jacq.) Spreng. ,NA,NA,NA,NA
PRI1AS,Celastraceae,Prionostemma,aspera,(Lam.) Miers,NA,NA,NA,NA
PSEUAC,Cucurbitaceae,Pteropepon,acariianthum,(Harms) H.Schaef. & S.S. Renner,NA,Pseudosicydium ,acariianthum,Harms
RHYCPY,Fabaceae,Rhynchosia,pyramidalis,(Lam.) Urb.,NA,NA,NA,NA
ROURGL,Connaraceae,Rourea,glabra,Kunth,NA,NA,NA,NA
SABIVI,Rubiaceae,Sabicea,villosa,Willd. ex Schult.,NA,NA,NA,NA
BAUHGU,Fabaceae,Schnella ,guianensis,(Aubl.) Wunderlin,NA,Bauhinia,guianensis,Aubl.
BAUHRE,Fabaceae,Schnella ,reflexa,(Schery) Wunderlin,NA,Bauhinia ,reflexa,Schery 
LIEDFI,Asclepiadaceae,Scyphostelma,filisepalum,(Standl.) Liede y Mave,NA,Liedea,filisepala,Cynanchum filisepalum L.O. Williams
SECUDI,Polygalaceae,Securidaca,diversifolia,(L.) S.F. Blake,NA,NA,NA,NA
ACACAC,Fabaceae,Senegalia,acanthopylla,Benth.(Britton & Rose) Standl.».),NA,Acacia,acanthopylla,Britton & Rose) Standl.
ACACHA,Fabaceae,Senegalia,hayesii,Benth.(Britton & Rose),NA,Acacia,hayesii,Benth.
ACACRI,Fabaceae,Senegalia,riparia,(Kunth) Britton & Rose),NA,Acacia ,riparia,Kunth
SERJAT,Sapindaceae,Serjania,atrolineata,C. Wright,NA,NA,NA,NA
SERJCI,Sapindaceae,Serjania,circumvallata,Radlk.,NA,NA,NA,NA
