"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"cheian","cheian",NA,NA,"Celastrales","Celastraceae","Cheiloclinium anomalum","Miers",NA,NA,"Climbing","Cheiloclinium anomalum","Miers","species","Celastraceae",FALSE,NA,FALSE,NA,"Cheiloclinium anomalum",3790800,"Cheiloclinium anomalum-CHEIAN"
"cheibe","cheibe",NA,NA,"Celastrales","Celastraceae","Cheiloclinium belizense","(Standl.) A.C. Sm.",NA,NA,"Freestanding","Cheiloclinium belizense","(Standl.) A.C.Sm.","species","Celastraceae",FALSE,NA,FALSE,NA,"Cheiloclinium belizense",3790759,"Cheiloclinium belizense-CHEIBE"
"cheico","cheico","cheico",NA,"Celastrales","Celastraceae","Cheiloclinium cognatum","(Miers) A.C. Sm.",NA,NA,"Freestanding","Cheiloclinium cognatum","(Miers) A.C.Sm.","species","Celastraceae",FALSE,FALSE,FALSE,NA,"Cheiloclinium cognatum",3790743,"Cheiloclinium cognatum-CHEICO"
"cheihi","cheihi",NA,NA,"Celastrales","Celastraceae","Cheiloclinium hippocrateoides","(Peyr.) A.C. Sm.",NA,NA,"Climbing","Cheiloclinium hippocrateoides","(Peyr.) A.C.Sm.","species","Celastraceae",FALSE,NA,FALSE,NA,"Cheiloclinium hippocrateoides",8609614,"Cheiloclinium hippocrateoides-CHEIHI"
"cheikl","cheikl",NA,NA,"Celastrales","Celastraceae","Cheiloclinium klugii","A.C. Sm.",NA,NA,"Climbing","Cheiloclinium klugii","A.C.Sm.","species","Celastraceae",FALSE,NA,FALSE,NA,"Cheiloclinium belizense",3790759,"Cheiloclinium klugii-CHEIKL"
"chimla","chimla","chimla",NA,"Gentianales","Rubiaceae","Chimarrhis latifolia","Standl.",NA,NA,"Freestanding","Chimarrhis latifolia","Standl.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Chimarrhis latifolia",2918957,"Chimarrhis latifolia-CHIMLA"
"chimpa","chimpa","chimpa","CHIP","Gentianales","Rubiaceae","Chimarrhis parviflora","Standl.",NA,NA,"Freestanding","Chimarrhis parviflora","Standl.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Chimarrhis parviflora",2918960,"Chimarrhis parviflora-CHIMPA-CHIP"
"chi2al","chi2al",NA,"CHIA","Gentianales","Rubiaceae","Chiococca alba","(L.) Hitchc.",NA,"R. Pérez 2319 y 2372 (PMA, SCZ)","Climbing","Chiococca alba","(L.) Hitchc.","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chiococca alba",2907406,"Chiococca alba-CHI2AL-CHIA"
"chi2be","chi2be",NA,NA,"Gentianales","Rubiaceae","Chiococca belizensis","Lundell",NA,NA,"Climbing","Chiococca belizensis","Lundell","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chiococca belizensis",2907391,"Chiococca belizensis-CHI2BE"
"chi2ca","chi2ca",NA,NA,"Gentianales","Rubiaceae","Chiococca caputensis","Lorence & C.M. Taylor",NA,NA,"Climbing","Chiococca caputensis","Lorence & C.M.Taylor","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chiococca caputensis",2907456,"Chiococca caputensis-CHI2CA"
"chi1pa","chi1pa","chi1pa",NA,"Lamiales","Oleaceae","Chionanthus panamensis","(Standl.) Stearn",NA,NA,"Freestanding","Chionanthus panamensis","(Standl.) Stearn","species","Oleaceae",FALSE,FALSE,FALSE,NA,"Chionanthus panamensis",3684654,"Chionanthus panamensis-CHI1PA"
"chione","chione",NA,NA,"Gentianales","Rubiaceae","Chione venosa","(Sw.) Urb.",NA,NA,"Freestanding","Chione venosa","(Sw.) Urb.","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chione venosa",5338775,"Chione venosa-CHIONE"
"chloma","chloma","chloma",NA,"Fabales","Fabaceae","Chloroleucon mangense","(Jacq.) Britton & Rose","Pithecellobium mangense","R. Pérez 1748 (PMA, SCZ)","Freestanding","Chloroleucon mangense","(Jacq.) Britton & Rose","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Chloroleucon mangense",2943053,"Chloroleucon mangense-CHLOMA"
"chomgr","chomgr",NA,NA,"Gentianales","Rubiaceae","Chomelia grandicarpa","Dwyer",NA,NA,"Freestanding","Chomelia grandicarpa","Dwyer","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia grandicarpa",5337288,"Chomelia grandicarpa-CHOMGR"
"chommi","chommi",NA,NA,"Gentianales","Rubiaceae","Chomelia microloba","Donn. Sm.","Chomelia peninsularis",NA,"Freestanding","Chomelia microloba","Donn.Sm.","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia microloba",5337311,"Chomelia microloba-CHOMMI"
"chompo","chompo",NA,NA,"Gentianales","Rubiaceae","Chomelia polyantha","S.F. Blake",NA,NA,"Freestanding","Chomelia polyantha","S.F.Blake","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia polyantha",5337333,"Chomelia polyantha-CHOMPO"
"chomps","chomps",NA,"CHOP","Gentianales","Rubiaceae","Chomelia psilocarpa","Dwyer & M.V. Hayden",NA,"R. Pérez 2018 (PMA, SCZ)","Climbing","Chomelia psilocarpa","Dwyer & M.V.Hayden","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia psilocarpa",5337286,"Chomelia psilocarpa-CHOMPS-CHOP"
"chomre","chomre",NA,NA,"Gentianales","Rubiaceae","Chomelia recordii","Standl.",NA,NA,"Freestanding","Chomelia recordii","Standl.","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia recordii",5337359,"Chomelia recordii-CHOMRE"
"chomru","chomru",NA,NA,"Gentianales","Rubiaceae","Chomelia rubra","Lorence & C.M. Taylor",NA,NA,"Freestanding","Chomelia rubra","Lorence & C.M.Taylor","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia rubra",5337294,"Chomelia rubra-CHOMRU"
"chomsp","chomsp","chomsp",NA,"Gentianales","Rubiaceae","Chomelia spinosa","Jacq.",NA,NA,"Freestanding","Chomelia spinosa","Jacq.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Chomelia spinosa",5337321,"Chomelia spinosa-CHOMSP"
"chomte","chomte",NA,"CHOB","Gentianales","Rubiaceae","Chomelia tenuiflora","Benth.","Chomelia atlantica",NA,"Freestanding","Chomelia tenuiflora","Benth.","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia tenuiflora",5337295,"Chomelia tenuiflora-CHOMTE-CHOB"
NA,NA,NA,NA,"Gentianales","Rubiaceae","Chomelia venulosa","W.C. Burger & C.M. Taylor",NA,NA,"Freestanding","Chomelia venulosa","W.C.Burger & C.M.Taylor","species","Rubiaceae",FALSE,NA,FALSE,NA,"Chomelia venulosa",5337364,"Chomelia venulosa"
"chonto","chonto",NA,"CHOT","Ranunculales","Menispermaceae","Chondrodendron tomentosum","Ruiz & Pav.",NA,"R. Pérez 2251 (PMA, SCZ)","Climbing","Chondrodendron tomentosum","Ruiz & Pav.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Chondrodendron tomentosum",3033958,"Chondrodendron tomentosum-CHONTO-CHOT"
NA,"chr1me",NA,NA,"Malpighiales","Malpighiaceae","Christianella mesoamericana","(W.R. Anderson) W.R. Anderson",NA,NA,"Climbing","Christianella mesoamericana","(W.R.Anderson) W.R.Anderson","species","Malpighiaceae",FALSE,NA,FALSE,NA,"Christianella mesoamericana",5634590,"Christianella mesoamericana"
"poutco","poutco",NA,NA,"Ericales","Sapotaceae","Chromolucuma congestifolia","(Pilz) Alves-Araújo & M. Alves","Pouteria congestifolia",NA,"Freestanding","Chromolucuma congestifolia","(Pilz) Alves-Araújo & M.Alves","species","Sapotaceae",FALSE,NA,FALSE,NA,"Chromolucuma congestifolia",7726213,"Chromolucuma congestifolia-POUTCO"
"chr3ic","chr3ic","chr3ic",NA,"Malpighiales","Chrysobalanaceae","Chrysobalanus icaco","L.",NA,NA,"Freestanding","Chrysobalanus icaco","L.","species","Chrysobalanaceae",FALSE,FALSE,FALSE,NA,"Chrysobalanus icaco",2985082,"Chrysobalanus icaco-CHR3IC"
"chr1al","chr1al",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys allenii","(Maguire) Hammel",NA,NA,"Freestanding","Chrysochlamys allenii","(Maguire) Hammel","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys allenii",5555791,"Chrysochlamys allenii-CHR1AL"
"chr1an","chr1an",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys angustifolia","(Maguire) Hammel",NA,NA,"Freestanding","Chrysochlamys angustifolia","(Maguire) Hammel","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys angustifolia",5555784,"Chrysochlamys angustifolia-CHR1AN"
"tovocr","tovocr",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys croatii","(Maguire) L. Marinho & Hammel","Tovomita croatii",NA,"Freestanding","Chrysochlamys croatii","(Maguire) L.Marinho & Hammel","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys croatii",7616474,"Chrysochlamys croatii-TOVOCR"
"chr1ec","chr1ec","chr1ec","CHRE","Malpighiales","Clusiaceae","Chrysochlamys eclipes","L.O. Williams",NA,"R. Pérez 1771 (PMA, SCZ)","Freestanding","Chrysochlamys eclipes","L.O.Williams","species","Clusiaceae",FALSE,FALSE,FALSE,NA,"Chrysochlamys eclipes",5555749,"Chrysochlamys eclipes-CHR1EC-CHRE"
"chr1gl","chr1gl","chr1gl",NA,"Malpighiales","Clusiaceae","Chrysochlamys glauca","(Oerst., Planch. & Triana) Hemsl.",NA,NA,"Freestanding","Chrysochlamys glauca","(Oerst. ex Planch. & Triana) Hemsl.","species","Clusiaceae",FALSE,FALSE,FALSE,NA,"Chrysochlamys glauca",5555745,"Chrysochlamys glauca-CHR1GL"
NA,"chr1me",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys membrillensis","(D'Arcy) Hammel",NA,NA,"Freestanding","Chrysochlamys membrillensis","(D'Arcy) Hammel","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys membrillensis",5555728,"Chrysochlamys membrillensis"
"chr1gr","chr1gr",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys myrcioides","Planch. & Triana","Chrysochlamys grandifolia",NA,"Freestanding","Chrysochlamys myrcioides","Planch. & Triana","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys myrcioides",5555719,"Chrysochlamys myrcioides-CHR1GR"
"chr1ni","chr1ni",NA,"TOVN","Malpighiales","Clusiaceae","Chrysochlamys nicaraguensis","(Oerst., Planch. & Triana) Hemsl.",NA,NA,"Freestanding","Chrysochlamys nicaraguensis","(Oerst., Planch. & Triana) Hemsl.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys nicaraguensis",5555717,"Chrysochlamys nicaraguensis-CHR1NI-TOVN"
"chr1ps","chr1ps",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys psychotriifolia","(Oerst., Planch. & Triana) Hemsl.",NA,NA,"Freestanding","Chrysochlamys psychotriifolia","(Oerst. ex Planch. & Triana) Hemsl.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys psychotriifolia",5555585,"Chrysochlamys psychotriifolia-CHR1PS"
"chr1si","chr1si",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys silvicola","(Hammel) Hammel",NA,NA,"Freestanding","Chrysochlamys silvicola","(Hammel) Hammel","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys silvicola",5556036,"Chrysochlamys silvicola-CHR1SI"
"chr1te","chr1te",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys tenuifolia","Cuatrec.",NA,NA,"Freestanding","Chrysochlamys tenuifolia","Cuatrec.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys tenuifolia",5555698,"Chrysochlamys tenuifolia-CHR1TE"
"chr1t1","chr1t1",NA,NA,"Malpighiales","Clusiaceae","Chrysochlamys tenuis","Hammel",NA,NA,"Freestanding","Chrysochlamys tenuis","Hammel","species","Clusiaceae",FALSE,NA,FALSE,NA,"Chrysochlamys tenuis",5555694,"Chrysochlamys tenuis-CHR1T1"
"chr2ar","chr2ar","chr2ar","CHRA","Ericales","Sapotaceae","Chrysophyllum argenteum","Jacq.",NA,"R. Pérez 1819","Freestanding","Chrysophyllum argenteum","Jacq.","species","Sapotaceae",FALSE,FALSE,FALSE,NA,"Chrysophyllum argenteum",2885742,"Chrysophyllum argenteum-CHR2AR-CHRA"
"chr2br","chr2br","chr2br",NA,"Ericales","Sapotaceae","Chrysophyllum brenesii","Cronquist",NA,NA,"Freestanding","Chrysophyllum brenesii","Cronquist","species","Sapotaceae",FALSE,FALSE,FALSE,NA,"Chrysophyllum brenesii",2885667,"Chrysophyllum brenesii-CHR2BR"
"chr2ca","chr2ca","chr2ca","CHRC","Ericales","Sapotaceae","Chrysophyllum cainito","L.",NA,"R. Pérez 2088","Freestanding","Chrysophyllum cainito","L.","species","Sapotaceae",FALSE,FALSE,FALSE,NA,"Chrysophyllum cainito",2885828,"Chrysophyllum cainito-CHR2CA-CHRC"
"chr2co","chr2co","chr2co",NA,"Ericales","Sapotaceae","Chrysophyllum colombianum","(Aubrév.) T.D. Penn",NA,"R. Pérez 1087","Freestanding","Chrysophyllum colombianum","(Aubrév.) T.D.Penn.","species","Sapotaceae",FALSE,FALSE,FALSE,NA,"Chrysophyllum colombianum",2885901,"Chrysophyllum colombianum-CHR2CO"
"chr2hi","chr2hi","chr2hi",NA,"Ericales","Sapotaceae","Chrysophyllum hirsutum","Cronquist",NA,"R. Pérez 1216","Freestanding","Chrysophyllum hirsutum","Cronquist","species","Sapotaceae",FALSE,FALSE,FALSE,NA,"Chrysophyllum hirsutum",2885650,"Chrysophyllum hirsutum-CHR2HI"
"chr2lu","chr2lu",NA,NA,"Ericales","Sapotaceae","Chrysophyllum lucentifolium","Cronquist",NA,NA,"Freestanding","Chrysophyllum lucentifolium","Cronquist","species","Sapotaceae",FALSE,NA,FALSE,NA,"Chrysophyllum lucentifolium",2885688,"Chrysophyllum lucentifolium-CHR2LU"
"chr2pr","chr2pr",NA,NA,"Ericales","Sapotaceae","Chrysophyllum prieurii","A. DC.",NA,NA,"Freestanding","Chrysophyllum prieurii","A.DC.","species","Sapotaceae",FALSE,NA,FALSE,NA,"Chrysophyllum prieurii",2885616,"Chrysophyllum prieurii-CHR2PR"
"chr2st","chr2st",NA,NA,"Ericales","Sapotaceae","Chrysophyllum striatum","T.D. Penn.",NA,NA,"Freestanding","Chrysophyllum striatum","T.D.Penn.","species","Sapotaceae",FALSE,NA,FALSE,NA,"Chrysophyllum striatum",2885729,"Chrysophyllum striatum-CHR2ST"
"chr2ve","chr2ve","chr2ve",NA,"Ericales","Sapotaceae","Chrysophyllum venezuelanense","(Pierre) T.D. Penn.",NA,"R. Pérez 1352","Freestanding","Chrysophyllum venezuelanense","(Pierre) T.D.Penn.","species","Sapotaceae",FALSE,FALSE,FALSE,NA,"Chrysophyllum venezuelanense",2885671,"Chrysophyllum venezuelanense-CHR2VE"
"cinnve","cinnve",NA,NA,"Laurales","Lauraceae","Cinnamomum verum","J. Presl",NA,NA,"Freestanding","Cinnamomum verum","J.Presl","species","Lauraceae",FALSE,NA,FALSE,NA,"Cinnamomum verum",3033987,"Cinnamomum verum-CINNVE"
"cionma","cionma",NA,NA,"Cucurbitales","Cucurbitaceae","Cionosicys macranthus","(Pittier) C. Jeffrey",NA,NA,"Climbing","Cionosicys macranthus","(Pittier) C.Jeffrey","species","Cucurbitaceae",FALSE,NA,FALSE,NA,"Cionosicys macranthus",4939867,"Cionosicys macranthus-CIONMA"
"cis1an","cis1an",NA,NA,"Ranunculales","Menispermaceae","Cissampelos andromorpha","DC.",NA,NA,"Climbing","Cissampelos andromorpha","DC.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Cissampelos andromorpha",3830581,"Cissampelos andromorpha-CIS1AN"
"cis1fa","cis1fa",NA,NA,"Ranunculales","Menispermaceae","Cissampelos fasciculata","Benth.",NA,NA,"Climbing","Cissampelos fasciculata","Benth.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Cissampelos fasciculata",3830089,"Cissampelos fasciculata-CIS1FA"
"cis1gr","cis1gr",NA,NA,"Ranunculales","Menispermaceae","Cissampelos grandifolia","Triana & Planch.",NA,NA,"Climbing","Cissampelos grandifolia","Triana & Planch.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Cissampelos grandifolia",3829943,"Cissampelos grandifolia-CIS1GR"
"cis1pa","cis1pa",NA,NA,"Ranunculales","Menispermaceae","Cissampelos pareira","L.",NA,"R. Pérez 2034 (PMA, SCZ)","Climbing","Cissampelos pareira","L.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Cissampelos pareira",3033937,"Cissampelos pareira-CIS1PA"
"cis1tr","cis1tr",NA,"CIST","Ranunculales","Menispermaceae","Cissampelos tropaeolifolia","DC.",NA,NA,"Climbing","Cissampelos tropaeolifolia","DC.","species","Menispermaceae",FALSE,NA,FALSE,NA,"Cissampelos tropaeolifolia",7268762,"Cissampelos tropaeolifolia-CIS1TR-CIST"
"cissal","cissal",NA,"CISR","Vitales","Vitaceae","Cissus alata","Jacq.",NA,NA,"Climbing","Cissus alata","Jacq.","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus alata",7760485,"Cissus alata-CISSAL-CISR"
"cissan","cissan",NA,NA,"Vitales","Vitaceae","Cissus anisophylla","Lombardi",NA,NA,"Climbing","Cissus anisophylla","Lombardi","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus anisophylla",4053515,"Cissus anisophylla-CISSAN"
"cissbi","cissbi",NA,NA,"Vitales","Vitaceae","Cissus biformifolia","Standl.",NA,NA,"Climbing","Cissus biformifolia","Standl.","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus biformifolia",4052904,"Cissus biformifolia-CISSBI"
"cissbr","cissbr",NA,NA,"Vitales","Vitaceae","Cissus brevipes","C.V. Morton & Standl.",NA,NA,"Climbing","Cissus brevipes","C.V.Morton & Standl.","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus brevipes",4052678,"Cissus brevipes-CISSBR"
"cissde","cissde",NA,NA,"Vitales","Vitaceae","Cissus descoingsii","Lombardi",NA,NA,"Climbing","Cissus descoingsii","Lombardi","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus descoingsii",4054813,"Cissus descoingsii-CISSDE"
"cisser","cisser",NA,"CISE","Vitales","Vitaceae","Cissus erosa","Rich.",NA,NA,"Climbing","Cissus erosa","Rich.","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus erosa",3039162,"Cissus erosa-CISSER-CISE"
"cissfl","cissfl",NA,NA,"Vitales","Vitaceae","Cissus flavifolia","Lombardi",NA,NA,"Climbing","Cissus flavifolia","Lombardi","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus flavifolia",4054228,"Cissus flavifolia-CISSFL"
"cissfu","cissfu",NA,"CISP","Vitales","Vitaceae","Cissus fuliginea","Kunth",NA,NA,"Climbing","Cissus fuliginea","Kunth","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus fuliginea",4054108,"Cissus fuliginea-CISSFU-CISP"
"cissse","cissse",NA,NA,"Vitales","Vitaceae","Cissus lombardiana","Kottaim.",NA,NA,"Climbing","Cissus lombardiana","Kottaim.","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus lombardiana",11150913,"Cissus lombardiana-CISSSE"
"cissmi","cissmi",NA,"CISM","Vitales","Vitaceae","Cissus microcarpa","Vahl",NA,NA,"Climbing","Cissus microcarpa","Vahl","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus microcarpa",4055001,"Cissus microcarpa-CISSMI-CISM"
"cissne","cissne",NA,NA,"Vitales","Vitaceae","Cissus neei","Croat",NA,NA,"Climbing","Cissus neei","Croat","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus neei",4054757,"Cissus neei-CISSNE"
"cissob","cissob",NA,NA,"Vitales","Vitaceae","Cissus obliqua","Ruiz & Pav.",NA,NA,"Climbing","Cissus obliqua","Ruiz & Pav.","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus obliqua",8195073,"Cissus obliqua-CISSOB"
"cisstr","cisstr",NA,NA,"Vitales","Vitaceae","Cissus trianae","Planch.",NA,NA,"Climbing","Cissus trianae","Planch.","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus trianae",7293839,"Cissus trianae-CISSTR"
"cissve","cissve",NA,"CISS","Vitales","Vitaceae","Cissus verticillata","(L.) Nicolson & C.E. Jarvis",NA,"R. Pérez 2112 (PMA, SCZ)","Climbing","Cissus verticillata","(L.) Nicolson & C.E.Jarvis","species","Vitaceae",FALSE,NA,FALSE,NA,"Cissus verticillata",3039173,"Cissus verticillata-CISSVE-CISS"
"cithca","cithca","cithca","CITC","Lamiales","Verbenaceae","Citharexylum caudatum","L.",NA,NA,"Freestanding","Citharexylum caudatum","L.","species","Verbenaceae",FALSE,FALSE,FALSE,NA,"Citharexylum caudatum",2925393,"Citharexylum caudatum-CITHCA-CITC"
