Family	Latin	Author	countries	minLat	maxLat	minLong	maxLong	Npan	N	range	plots	dens	inventories	maxht
Arecaceae	Iriartea deltoidea	Ruiz & Pav.	9	-17.73333	12.5	-85.427778	-52.8731	43	1224	5320	7	2.20265151515152	6	30
Arecaceae	Manicaria saccifera	Gaertn.	15	-3.46666	17	-90.5	-48.4675	41	226	4349	0	0	0	8
Arecaceae	Oenocarpus bataua	Mart.	11	-17.7275	10.6931	-81.8333334	-48.29	12	1271	7866	0	0	0	26
Arecaceae	Oenocarpus mapora	H. Karst.	8	-14.7297	11.003083	-84.376389	-54.1344	168	939	5040	44	62.023601154159	59	18
Arecaceae	Pholidostachys dactyloides	H.E. Moore	3	-3.6767	8.9336111	-81.8333334	-74.904427	6	128	327	0	0	0	10
Arecaceae	Pholidostachys pulchra	H. Wendl. ex Burret	4	3.91666	12.5	-85.325008	-76.5894	42	135	158.18	0	0	0	5
Arecaceae	Phytelephas seemannii	O.F. Cook	2	2.30207	9.55833	-80.6853	-75.48705	29	42	140	0	0	3	4
Arecaceae	Prestoea acuminata	(Willd.) H.E. Moore	19	-18.66666	21.52176	-85.5	-60.5881	12	591	5165	0	0	0	15
Arecaceae	Prestoea decurrens	(H. Wendl. ex Burret) H.E. Moore	5	-3.6767	14.46666	-85.9498889	-74.7403	41	260	629	1	0.054975086434818	2	10
Arecaceae	Prestoea ensiformis	(Ruiz & Pav.) H.E. Moore	5	-11.7797	10.06	-84.5461	-73.1136	33	132	1179	0	0	0	9
Arecaceae	Prestoea longepetiolata	(Oerst.) H.E. Moore	5	6.5219	13.1	-85.96666	-72.15	30	128	241	0	0	0	3
Arecaceae	Prestoea pubens	H.E. Moore	3	-1.0294	9.5492	-80.6367	-74.9433	24	33	217	0	0	0	3.5
Arecaceae	Raphia taedigera	(Mart.) Mart.	6	-21.7944	12.8614	-85	-45.2875	7	51	6474	0	0	1	12
Arecaceae	Sabal mauritiiformis	(H. Karst.) Griseb. & H. Wendl.	10	3.364329	23.950465	-102.532886	-60.9505556	23	221	1956	0	0	0	25
Arecaceae	Sabinaria magnifica	Galeano & R. Bernal	1	8.5858	8.588222	-77.415639	-77.3889	0	2	0.147962579728795	0	0	0	6
Arecaceae	Socratea exorrhiza	(Mart.) H. Wendl.	12	-17.7275	12.8614	-85.3666667	-45.1958	131	1793	8006	30	26.8475885956884	36	25
Arecaceae	Synechanthus warscewiczianus	H. Wendl.	5	-3.6767	14.58333	-86.3	-75.6953	241	600	432	16	33.7396881991051	21	5
Arecaceae	Welfia regia	Mast.	6	-3.6767	14.5	-86.5	-73.5156	67	258	542	12	4.83238636363636	15	25
Arecaceae	Wettinia aequalis	(O.F. Cook & Doyle) R. Bernal	3	-2.567	9.5	-81.2164	-76.2467	18	91	185	0	0	0	8
Arecaceae	Wettinia donosoensis	De Gracia & Grayum	1	8.8255556	8.8348333	-80.6494444	-80.6055556	5	5	0.01	0	0	0	NA
Arecaceae	Wettinia quinaria	(O.F. Cook & Doyle) Burret	4	-5.08333	9.5583333	-82.23333	-73.83333	64	186	623	4	2.07765151515152	14	16
