Family	Latin	Author	countries	minLat	maxLat	minLong	maxLong	Npan	N	range	plots	dens	inventories	maxht
Burseraceae	Dacryodes patrona	Daly	1	8.5661	9	-81.2164	-80.4666667	13	13	1.83	0	0	0	NA
Burseraceae	Protium aracouchini	(Aubl.) Marchand	11	-21.57	10.666667	-85.0511	-34.8608	27	1295	10983	0	0	0	NA
Burseraceae	Protium confusum	(Rose) Pittier	9	6.3333333	20.511111	-96.75	-76.08333	78	460	766	12	9.04850378787879	11	NA
Burseraceae	Protium copal	(Schltdl. & Cham.) Engl.	6	8.53	23.950465	-102.532886	-78.93027	4	624	1130	0	0	0	NA
Burseraceae	Protium costaricense	(Rose) Engl.	4	8.2325	15.71666	-88.65	-78.218333	52	215	189	13	1.9724053030303	5	8
Burseraceae	Protium glabrum	(Rose) Engl.	7	7.668611	19.3333	-96.675	-70.845833	86	488	694	9	12.5307256711409	7	12
Burseraceae	Protium guianense	(Aubl.) Marchand	12	-17.08333	10.753632	-84.0122	-44.7161	20	399	7563	0	0	0	NA
Burseraceae	Protium multiramiflorum	Lundell	6	8.4822223	18.409	-96.75	-81.0980555	1	178	480	0	0	0	NA
Burseraceae	Protium panamense	(Rose) I.M. Johnst.	5	7.1172	16.71666	-88.98333	-76.521194	258	384	250	38	56.3193722035794	40	40
Burseraceae	Protium pecuniosum	Daly	2	8.2852777	10	-84.8333	-82.9208	2	61	5	0	0	0	30
Burseraceae	Protium pittieri	(Rose) Engl.	6	0.88333	17.74361	-96.75	-76.7719	21	221	364	0	0	0	8
Burseraceae	Protium ravenii	D.M. Porter	4	7.1172	12.61666	-85.427778	-77.7681	14	236	106.17	0	0	0	NA
Burseraceae	Protium stevensonii	(Standl.) Daly	15	-17.1825	17.25	-90.5	-44.7161	222	1364	8567	34	44.266875	44	35
Burseraceae	Protium tenuifolium	NA	12	-20.766667	12.5	-85.368889	-34.844167	199	809	10905	47	91.7600024150905	51	NA
Burseraceae	Protium trifoliolatum	Engl.	9	-22.816667	9.37499	-80.056	-45.1206	21	587	8635	6	9.79782196969697	11	NA
Burseraceae	Trattinnickia aspera	(Standl.) Swart	8	-17	12.5	-85	-55.9166667	86	223	4932	24	3.66718451291438	19	50
Burseraceae	Trattinnickia burserifolia	Mart.	11	-17.1825	9.391010284	-80.6367	-44.2944	3	503	7762	1	0.142045454545455	0	30
Buxaceae	Buxus citrifolia	(Willd.) Spreng.	6	3.8797	18.4136	-81.1280556	-56.1556	16	41	1053	0	0	0	5
Cactaceae	Acanthocereus tetragonus	(L.) Hummelinck	16	3.123611	26.158333	-109.2713889	-56.166667	13	418	3469	0	0	1	NA
Cactaceae	Opuntia elatior	Mill.	4	4.659722	45.16695	-119.29197	-63.5	2	13	1366	0	0	1	NA
Cactaceae	Pereskia bleo	(Kunth) DC.	8	4.028333	16.4819	-89.25	-58.9166667	15	93	1600	0	0	3	NA
Calophyllaceae	Calophyllum brasiliense	Cambess.	32	-28.0944	23	-105.691667	-34.8125	79	3306	14757	7	2.63304924242424	13	40
Calophyllaceae	Calophyllum longifolium	Willd.	10	-25.0205556	18.151419	-86.95166	-47.165555	140	263	9471	34	9.3288821944275	46	40
Calophyllaceae	Calophyllum nubicola	D'Arcy & R.C. Keating	1	8.1667	9.3022	-81.25	-78.2478	11	11	7.23	0	0	0	12
Calophyllaceae	Mammea americana	L.	30	-17.66666	25.0628	-102	-55.1	8	197	7230	0	0	0	20
Calophyllaceae	Mammea immansueta	D'Arcy	1	9.2578	9.45961	-79.9621	-78.92805	25	25	1.36	4	1.06676136363636	9	30
Calophyllaceae	Marila domingensis	Urb.	3	9.21666	19.2811	-79.5265	-70.595	11	16	27	1	1.13636363636364	0	7
Calophyllaceae	Marila lactogena	Cuatrec.	3	0.75	9.4642	-81.175	-72.8667	18	29	272	1	0.681344696969697	4	13
Calophyllaceae	Marila laxiflora	Rusby	13	-18.4769445	19.3333	-96.75	-53.0833334	131	427	6161	14	4.58113458409599	30	25
Calophyllaceae	Marila pluricostata	Standl. & L.O. Williams	5	-13.26666	10.643889	-84.8333	-70.31666	53	160	1162	6	0.40719696969697	12	30
Campanulaceae	Centropogon smithii	E. Wimm.	2	8.5	10.3	-84.750001	-82.25	15	62	10.74	0	0	0	NA
Campanulaceae	Centropogon tortilis	E. Wimm.	3	7.75	11.1333333	-84.2	-77.28333	164	191	67.62	0	0	1	NA
Cannabaceae	Celtis schippii	Standl.	12	-17.7275	17.25	-89.11666	-53.0833334	52	644	6781	20	3.02484848484849	9	20
Cannabaceae	Lozanella enantiophylla	(Donn. Sm.) Killip & C.V. Morton	13	-17.84388	23	-102	-64.3436	39	472	4614	0	0	0	10
Cannabaceae	Trema domingensis	Urb.	15	-17.3333333	17.1833334	-90.5	-55.9166667	14	219	5729	3	0.0334090909090909	0	35
Cannabaceae	Trema micrantha	(L.) Blume	34	-32.9144	27.1167	-105.9166667	-34.7992	314	6733	16703	5	0.0669318181818182	29	30
Capparaceae	Caphexandra heydeana	(Donn. Sm.) Iltis & Cornejo	7	9.3	23	-102	-82.27	3	54	480	0	0	0	30
Capparaceae	Capparidastrum discolor	(Donn. Sm.) Cornejo & Iltis	9	5.481486	19.533889	-96.75	-74.64025	31	231	687	2	0.207859848484849	3	20
Capparaceae	Capparidastrum frondosum	(Jacq.) Cornejo & Iltis	31	-23.2556	22.6547	-105.05857533	-34.9489	118	861	12367	12	17.5529166666667	19	7
Capparaceae	Capparidastrum mollicellum	(Standl.) Cornejo & Iltis	7	8.6994	21.503333	-105.158056	-79.76666	3	119	834	0	0	0	25
Capparaceae	Capparidastrum pachaca	(Kunth) Hutch.	9	-1.6	21.569444	-101.715556	-63.9	4	195	2058	0	0	0	10
Capparaceae	Crateva tapia	L.	25	-31.1283	25.967756	-109.080915	-34.8789	25	2109	16289	2	0.336174242424242	5	30
Capparaceae	Cynophalla amplissima	(Lam.) Iltis & Cornejo	19	-15.5	19.5653	-85.7166667	-47.3172	12	357	7275	0	0	0	20
Capparaceae	Cynophalla flexuosa	(L.) J. Presl	35	-29.04	27.66972	-108.2166667	-34.7992	30	1605	15961	0	0	1	10
Capparaceae	Cynophalla verrucosa	(Jacq.) J. Presl	11	2.8711	24.6333333	-107.5	-60.97583	14	365	2396	0	0	1	8
Capparaceae	Morisonia americana	L.	22	-3.5658	25.0125	-107.8333333	-59.1769	16	464	3932	0	0	0	15
Capparaceae	Morisonia oblongifolia	Britton	7	-16.3833334	11.4358	-78.9694	-63.4583333	5	130	3515	0	0	0	NA
Capparaceae	Preslianthus panamensis	(Iltis) Iltis	1	8.9	9.4642	-79.5578	-77.7666667	21	21	3.18	0	0	8	6
Capparaceae	Preslianthus pittieri	(Standl.) Iltis & Cornejo	14	-15.4664325	15.65	-87.2666667	-52.31	77	337	6715	4	0.527462121212121	7	20
Capparaceae	Quadrella antonensis	(Woodson) Iltis & Cornejo	1	8.4936	9.5492	-81.2164	-78.2478	44	44	15.27	0	0	7	6
Capparaceae	Quadrella dressleri	Cornejo & Iltis	1	9.2694445	9.3613889	-79.7211111	-78.9280556	6	6	0.17	0	0	0	4
Capparaceae	Quadrella filipes	(Donn. Sm.) Iltis & Cornejo	2	7.28166	10.700795	-85.25	-77.7	9	52	98.51	0	0	0	5
Capparaceae	Quadrella indica	(L.) Iltis & Cornejo	22	-9.16389	24.8	-107.4	-59.4383	13	586	4095	1	0.0151515151515152	2	10
Capparaceae	Quadrella isthmensis	(Eichler) Hutch.	21	-26.1833333	25.675	-104.8333333	-55	55	247	8244	2	0.0151515151515152	6	10
Capparaceae	Quadrella mirifica	(Standl.) Iltis & Cornejo	1	9.1222	9.3333333	-79.8442	-79.54972	7	7	0.34	0	0	0	6
Capparaceae	Quadrella odoratissima	(Jacq.) Hutch.	14	3.071667	17.5	-96.75	-60.5017	15	358	1619	0	0	0	20
Capparaceae	Steriphoma paradoxum	(Jacq.) Endl.	6	6.5833333	15.775	-90.225	-63.65	4	50	861	0	0	0	6
Cardiopteridaceae	Citronella costaricensis	(Donn. Sm.) R.A. Howard	5	-10.53333	11.0933	-84.85	-65.9119	7	112	2016	0	0	0	18
Cardiopteridaceae	Dendrobangia boliviana	Rusby	11	-16.7261	10.748333	-84.8333	-39.095	27	605	9764	0	0	0	30
Caricaceae	Carica papaya	L.	29	-27.27	27.945552	-111.055892	-52.3269	64	1035	10650	0	0	3	10
Caricaceae	Jacaratia dolichaula	(Donn. Sm.) Woodson	7	8.0197	19.3333	-102.47	-77.33333	18	295	787	0	0	0	NA
Caricaceae	Jacaratia spinosa	(Aubl.) A. DC.	16	-29.9478	17.15	-99.5166667	-34.985	50	947	13805	10	0.154057352043929	4	NA
Caricaceae	Vasconcellea cauliflora	(Jacq.) A. DC.	9	2.8744	23.95056	-102.53278	-68.81666	57	297	1620	5	0.0765909090909091	13	4
Caricaceae	Vasconcellea microcarpa	(Jacq.) A. DC.	9	-16.33333	11.18695	-83.65333	-37.158	11	291	8585	0	0	0	6
Caricaceae	Vasconcellea pubescens	A. DC.	8	-1.8177778	22.97	-84.0675	-66.5833334	10	127	1228	0	0	0	7
Caryocaraceae	Anthodiscus chocoensis	Prance	3	3.6122	9.9858	-84.1280556	-75.3022	10	65	146.41	0	0	0	NA
Caryocaraceae	Caryocar amygdaliferum	Mutis	3	-12.31666	8.506798	-78.0566667	-72.3	5	74	646	0	0	0	NA
Caryocaraceae	Caryocar costaricense	Donn. Sm.	2	7.36944	10.2681	-84.8333	-77.3833333	8	88	81.75	0	0	0	NA
Caryocaraceae	Caryocar nuciferum	L.	9	-0.8686	11.2883	-84.8247223	-54.5889	7	67	2276	0	0	0	NA
Celastraceae	Cheiloclinium cognatum	(Miers) A.C. Sm.	11	-24.9044	10.2683	-84.5461	-34.9464	93	2050	11883	4	0.428977272727273	2	15
Celastraceae	Crossopetalum gomezii	Lundell	2	7.59111	9.783333	-84.486111	-81.25	4	28	16.47	0	0	0	4
Celastraceae	Crossopetalum parviflorum	(Hemsl.) Lundell	9	8.39	23.950465	-102.575	-77.73333	80	616	1001	13	2.73469595281676	5	6
Celastraceae	Elachyptera floribunda	(Benth.) A.C. Sm.	14	-12.5	19.69444	-89.4	-39.71666	13	87	7277	0	0	0	NA
Celastraceae	Elaeodendron xylocarpum	(Vent.) DC.	22	7.461111	24.6794	-106.3733334	-59.5708	22	280	2113	0	0	0	10
Celastraceae	Gyminda tonduzii	Loes.	8	8.5	20.869444	-97.6666111	-82.25	8	176	717	0	0	0	8
Celastraceae	Maytenus woodsonii	Lundell	3	8.5	10.4666667	-84.1375	-72.8333333	21	75	38	0	0	0	6
Celastraceae	Monteverdia guyanensis	Condit	13	-15	15.5858	-85.07389	-45.3089	1	487	6674	0	0	0	35
Celastraceae	Monteverdia jefeana	(Lundell) Biral	1	9.20277	9.2578	-80.125	-79.3553	9	9	0.15	0	0	0	20
Celastraceae	Monteverdia recondita	(Hammel) Biral	2	8.6527778	10.990278	-85.47	-82.4139	2	67	29.08	0	0	0	25
Celastraceae	Monteverdia sieberiana	(Krug & Urb.) Biral	4	3.8811	15.95	-88.95	-65.9119	80	118	820	24	1.26114449867806	7	25
Celastraceae	Quetzalia occidentalis	(Loes. ex Donn. Sm.) Lundell	6	8.075	20.5214	-98.4853	-77.23333	33	161	538	1	0.0473484848484848	0	18
Celastraceae	Salacia cordata	(Miers) Mennega	14	-17.5	23	-102	-46.9244	41	491	8348	2	0.142045454545455	1	23
Celastraceae	Salacia elliptica	(Mart. ex Schult.) G. Don	12	-27.7169	16.733333	-88.983333	-35.3381	5	1026	12806	0	0	0	5
Celastraceae	Salacia impressifolia	(Miers) A.C. Sm.	15	-18.96917	20.0447222	-97.3097222	-47.4064	14	511	9403	0	0	0	10
Celastraceae	Salacia macrocremastra	Lombardi	1	8.05833	9.37642	-80.6	-77.28333	15	15	14.37	1	0.0151515151515152	9	NA
Celastraceae	Salacia multiflora	(Lam.) DC.	12	-17.014167	13.85	-85.29777	-35.000861	13	203	9962	0	0	0	3
Celastraceae	Salacia panamensis	Lombardi	1	7.8333333	9.3833333	-79.95	-77.7	17	17	9.66	0	0	0	10
Celastraceae	Wimmeria sternii	Lundell	4	8.7192	17.919764	-97.317456	-82.2381	5	42	225	0	0	0	25
Celastraceae	Zinowiewia integerrima	(Turcz.) Turcz.	10	3.8811	21.275	-101.133889	-72.3919	31	305	1142	0	0	0	30
Chloranthaceae	Hedyosmum bonplandianum	Kunth	6	0.86444	14.5	-86.5	-72.728944	134	592	531	0	0	4	NA
Chloranthaceae	Hedyosmum brenesii	Standl.	6	7.75	16.9952777	-89.721	-77.66666	7	119	286	0	0	0	NA
Chloranthaceae	Hedyosmum burgerianum	D'Arcy & Liesner	1	8.5	8.7956	-82.4139	-81.7877777	7	7	0.88	0	0	0	NA
Chloranthaceae	Hedyosmum correanum	D'Arcy & Liesner	1	8.5	9.08	-82.8697223	-81.8	20	20	2.05	0	0	0	NA
Chloranthaceae	Hedyosmum costaricense	C.E. Wood ex W.C. Burger	2	5.518489	10.83333	-87.078288	-80.4	33	168	71	0	0	0	NA
Chloranthaceae	Hedyosmum gentryi	D'Arcy & Liesner	5	1.53	12.5	-85.0133	-63.8153	5	49	1108	0	0	0	NA
Chloranthaceae	Hedyosmum goudotianum	Solms	7	-12.8653	12.8614	-87.05	-70.15	15	487	2335	0	0	0	NA
Chloranthaceae	Hedyosmum mexicanum	C. Cordem.	9	8.7956	23.454167	-105.851389	-82.4139	8	511	1050	0	0	0	NA
Chloranthaceae	Hedyosmum scaberrimum	Standl.	5	-3.4664	12.5	-85	-74.8	97	293	460	3	0.579545454545455	5	NA
Chrysobalanaceae	Chrysobalanus icaco	L.	31	-25.51	28.6565	-102.575	-34.7992	33	1358	13036	0	0	2	NA
Chrysobalanaceae	Cordillera platycalyx	(Cuatrec.) Sothers & Prance	5	-3.2636	10.366667	-84.616667	-65.9119	2	73	1243	0	0	0	NA
Chrysobalanaceae	Couepia janzenii	D. Santam. & Lagom.	2	8.6819445	10.48	-84.0583333	-79.31388	2	5	12.36	0	0	0	40
Chrysobalanaceae	Couepia macrophylla	Spruce ex Hook. f.	5	-19.971389	8.45	-78.33972	-40.530278	3	83	3747	0	0	0	NA
Chrysobalanaceae	Couepia scottmorii	Prance	1	9.23388	9.2578	-79.50111	-79.3553	6	6	0.01	0	0	0	NA
Chrysobalanaceae	Hirtella americana	L.	16	-16.3833334	23.0489	-100.374719	-53.0833334	134	578	6242	35	4.82505681818182	32	NA
Chrysobalanaceae	Hirtella guatemalensis	Standl.	7	8.68333	23.6166667	-102.575	-79.1418	18	91	571	3	0.393465909090909	7	NA
Chrysobalanaceae	Hirtella latifolia	Prance	5	-15.5289	10.4233	-84.0122	-67.3419	77	111	1245	5	1.69933712121212	14	NA
Chrysobalanaceae	Hirtella racemosa	Lam.	19	-22.94412	23.6166667	-105.191489	-34.8	251	2683	13010	20	26.5111221273134	51	NA
Chrysobalanaceae	Hirtella triandra	Sw.	27	-23.0353	23.0489	-104.790061	-36.41666	226	1564	13082	36	21.113610560301	28	NA
Chrysobalanaceae	Hirtella tubiflora	Cuatrec.	5	-5.41666	10.316588937	-84.63	-74.557222	27	86	470	2	0.297348484848485	4	NA
Chrysobalanaceae	Hymenopus costaricensis	(Standl. & Steyerm.) Sothers & Prance	2	8.68	10.715833	-84.8233	-79	2	19	36.48	0	0	0	NA
Chrysobalanaceae	Leptobalanus granvillei	(Prance) Sothers & Prance	7	-14.1666667	9.2578	-79.3553	-52.47	1	52	4527	0	0	0	NA
Chrysobalanaceae	Leptobalanus jefensis	(Prance) Sothers & Prance	2	8.5	11.0333333	-85.427779	-79.375	12	44	38.59	0	0	0	NA
Chrysobalanaceae	Leptobalanus longistylus	(Hook. f.) Sothers & Prance	9	-16.95	10.10194	-78.9666667	-44.2558	2	291	8059	0	0	0	NA
Chrysobalanaceae	Leptobalanus morii	(Prance) Sothers & Prance	1	9.1592	9.37642	-79.8442	-78.9302778	19	19	1.43	3	1.17282196969697	12	NA
Chrysobalanaceae	Leptobalanus sparsipilis	(S.F. Blake) Sothers & Prance	9	3.9828	20.633333	-105.175	-76.9703	3	90	735	0	0	0	NA
Chrysobalanaceae	Licania affinis	Fritsch	6	3.8558	10.76666	-84.180556	-52.13333333	52	100	646	6	5.08901515151515	15	NA
Chrysobalanaceae	Licania cruegeriana	Urb.	5	5.9897	11.2883	-80.6669	-60.5881	12	26	623	1	0.145359848484849	2	NA
Chrysobalanaceae	Licania hypoleuca	Benth.	16	-22.4372	18.158333	-96.75	-37.529167	122	854	11404	18	9.610980780964	23	NA
Chrysobalanaceae	Licania micrantha	Miq.	11	-20.950278	9.9858	-83.6478	-39.06916	5	491	9982	0	0	0	NA
Chrysobalanaceae	Maranthes panamensis	(Standl.) Prance & F. White	3	8.403175	12.5	-85.422223	-78.31111	79	159	83.98	23	8.69996631584299	19	NA
Chrysobalanaceae	Microdesmia arborea	(Seem.) Sothers & Prance	14	-17.0869	23.6166667	-105.034547	-52.8731	38	559	5990	2	0.0454545454545455	11	NA
Chrysobalanaceae	Moquilea chiriquiensis	(Prance) Sothers & Prance	1	8.5316667	9.1777778	-82.2381	-79.4083333	4	4	9.14	0	0	0	NA
Chrysobalanaceae	Moquilea dodsonii	(Prance) Sothers & Prance	3	-0.86667	8.76666	-82.2381	-76.4567	2	18	78	0	0	0	NA
Chrysobalanaceae	Moquilea fasciculata	(Prance) Sothers & Prance	1	9.2511111	9.5492	-79.74810028	-78.2478	18	18	2.71	1	0.136363636363636	7	NA
Chrysobalanaceae	Moquilea kallunkiae	(Prance) Sothers & Prance	3	8.6747	12.9666667	-85.2166667	-79.28679657	12	82	78	2	0.189393939393939	0	NA
Chrysobalanaceae	Moquilea macrocarpa	(Cuatrec.) Sothers & Prance	4	-10.5708334	9.3022	-81.8333334	-69.58	6	125	1430	2	0.284090909090909	0	NA
Chrysobalanaceae	Moquilea platypus	Hemsl.	9	5.5267	23.6166667	-105.27	-74.0431	63	320	1173	7	1.15723484848485	10	NA
Chrysobalanaceae	Parinari chocoensis	Prance	2	3.83333	9.43564	-82.3222223	-76.630369	11	25	42.56	0	0	1	NA
Chrysobalanaceae	Parinari parvifolia	Sandwith	6	-9.891389	10.686111	-84.39	-51.3819	5	56	3534	0	0	0	NA
Clethraceae	Clethra consimilis	Sleumer	2	8.5	10.3	-84.8	-81.7941666	10	33	16.7	0	0	0	20
Clethraceae	Clethra gelida	Standl.	3	9.0503	14.66666	-88.7	-82.8506	1	43	92	0	0	0	15
Clethraceae	Clethra mexicana	DC.	14	-20.363611	28.346111	-109.045556	-61.2442	97	997	6460	0	0	12	30
Clethraceae	Clethra pyrogena	Sleumer	2	8.3997	10.408333	-84.800007	-81.7583	5	43	13.36	0	0	0	30
Clethraceae	Clethra tutensis	C.W. Ham.	1	8.48222	8.5689	-81.09805	-81.0069	3	3	0.01	0	0	0	12
Clethraceae	Clethra vicentina	Standl.	6	8.53583	20.37722	-105.11056	-81.81305	4	120	528	0	0	0	20
Clethraceae	Purdiaea belizensis	(A.C. Sm. & Standl.) J.L. Thomas	4	8.1667	17.25	-89.4166667	-80.8016667	2	30	132	0	0	0	NA
Clusiaceae	Arawakia caputmonsia	(Gahagen) L. Marinho	1	9.2258334	9.25	-79.5	-79.375	3	3	0.01	0	0	0	25
Clusiaceae	Arawakia panamaea	(Gahagen) L. Marinho	1	8.53333	9.4	-81.11666	-78.9369444	6	6	5.14	0	0	0	10
Clusiaceae	Arawakia weddelliana	(Planch. & Triana) L. Marinho	10	-17.5128	12.5	-85.4786	-59.95	97	549	5133	4	2.93181818181818	16	20
Clusiaceae	Chrysochlamys allenii	(Maguire) Hammel	4	7.8681	12.5	-85.470834	-77.7069	23	143	92.4	0	0	0	15
Clusiaceae	Chrysochlamys angustifolia	(Maguire) Hammel	2	-10.3541667	8.8575	-81.53333	-75.285	25	26	59	0	0	0	NA
Clusiaceae	Chrysochlamys croatii	(Maguire) L. Marinho & Hammel	4	-1.4775	10.2681	-84.8233	-76.8158	21	64	148	0	0	0	3.5
Clusiaceae	Chrysochlamys eclipes	L.O. Williams	3	-10.1433333	9.58333	-82.75	-74.595032	211	238	656	16	7.99522727272727	17	NA
Clusiaceae	Chrysochlamys glauca	(Oerst., Planch. & Triana) Hemsl.	5	1.91666	12.5	-85.493889	-67.05	49	463	905	1	0.0151515151515152	1	14
Clusiaceae	Chrysochlamys grandifolia	(L.O. Williams) Hammel	2	8.3119	10.700795	-84.8333	-79.2666667	43	127	58.49	4	0.270359848484849	3	10
Clusiaceae	Chrysochlamys membrillensis	(D'Arcy) Hammel	1	8.0197	9.4166667	-80.6669	-77.28333	8	8	17.22	0	0	0	NA
Clusiaceae	Chrysochlamys nicaraguensis	(Oerst., Planch. & Triana) Hemsl.	12	-3.783333	19.3333	-96.6667	-58.63	64	207	2319	0	0	0	15
Clusiaceae	Chrysochlamys psychotriifolia	(Oerst., Planch. & Triana) Hemsl.	4	-1.7833333	15.81667	-88.93333	-76.8	36	124	256	0	0	0	20
Clusiaceae	Chrysochlamys silvicola	(Hammel) Hammel	3	8.48222	12.5	-85	-77.4833333	58	126	59.95	0	0	0	8
Clusiaceae	Chrysochlamys tenuifolia	Cuatrec.	3	-1.7833333	9.3367	-78.9694	-72.8667	18	92	382	0	0	0	NA
Clusiaceae	Chrysochlamys tenuis	Hammel	2	8.28333	11.03	-85.42	-78.96611	81	123	63.81	0	0	0	5
Clusiaceae	Clusia coclensis	Standl.	2	7.3094	9.6667	-84	-77.3166667	49	53	59.39	0	0	0	NA
Clusiaceae	Clusia cooperi	Standl.	3	8.625	14.6833333	-85.41666	-79.55805	11	123	113	0	0	0	8
Clusiaceae	Clusia cretosa	Hammel	3	6.95	10.35	-84.8	-75.466667	71	98	74.26	0	0	1	NA
Clusiaceae	Clusia croatii	D’Arcy	3	8.3119	14.01666	-86.3166667	-78.25	64	263	153	0	0	0	15
Clusiaceae	Clusia discolor	Cuatrec.	3	1.069722	9.5236	-78.096391	-66.7622	3	22	500	0	0	0	NA
Clusiaceae	Clusia divaricata	Maguire	2	2.72753	9.4642	-82.7881	-72.2925	72	73	119	1	0.0473484848484848	4	NA
Clusiaceae	Clusia dukei	Maguire	3	4.96667	10.353889	-84.35139	-74.4333	29	59	50	0	0	0	7
Clusiaceae	Clusia gracilis	Standl.	3	8.52277	11.01666	-85.04089	-80.6493889	15	152	43.62	0	0	0	6
Clusiaceae	Clusia heterosavia	Hammel	2	7.75	11.0333333	-85.47	-77.28333	9	41	70.39	0	0	0	NA
Clusiaceae	Clusia latipites	Hammel	1	8.6266667	9.25	-80.105	-79.375	11	11	0.27	0	0	0	NA
Clusiaceae	Clusia liesneri	Maguire	1	8.50805	9.5	-81.1931	-78.58333	45	45	11.56	0	0	0	NA
Clusiaceae	Clusia lineata	(Benth.) Planch. & Triana	5	-12.86666	9.8906	-84.3908	-71.38333	17	260	1495	0	0	0	NA
Clusiaceae	Clusia minor	L.	23	-17.69694	23.95056	-102.575	-52.6795667	26	591	7629	0	0	0	7
Clusiaceae	Clusia multiflora	Kunth	10	-17.8139	15.18333	-90.5	-63.4583333	25	815	4432	0	0	0	10
Clusiaceae	Clusia nectarifera	Hammel	2	8.8083333	10.28	-84.78	-82.38333	8	18	3.78	0	0	0	NA
Clusiaceae	Clusia odorata	Seem.	4	-4.98333	17.217668	-88.684767	-73.76666	14	17	262	0	0	0	NA
Clusiaceae	Clusia peninsulae	Hammel	2	7.41666	10	-85.05267	-77.9	21	113	70.87	0	0	0	NA
Clusiaceae	Clusia pentandra	Cuatrec.	3	-0.7166667	8.2358	-78.1431	-72.8667	4	46	301	0	0	0	NA
Clusiaceae	Clusia perscariosa	Maguire	2	5.752501	9.3367	-78.9833333	-76.262269	24	25	23.54	0	0	0	NA
Clusiaceae	Clusia povedae	Hammel	2	8.5416666	10.8	-84.99028	-79.2833333	7	33	32.44	0	0	0	NA
Clusiaceae	Clusia pratensis	Seem.	2	7.23194	9.86275	-84.272056	-79.41638	85	86	51.78	1	0.0069910514541387	1	NA
Clusiaceae	Clusia quadrangula	Bartlett	7	9.4325	19.56666	-96.8	-82.2516667	2	121	468	0	0	0	NA
Clusiaceae	Clusia rosea	Jacq.	27	-10.1930555	27.8181	-103.711389	-54.9833333	25	424	5283	0	0	7	20
Clusiaceae	Clusia rotundata	Standl.	7	-0.33333	12.5	-85.3303	-66.3908	8	61	864	0	0	0	5
Clusiaceae	Clusia salvinii	Donn. Sm.	11	-16.48333	23.950465	-105.851389	-62.2	37	472	5063	0	0	0	20
Clusiaceae	Clusia stenophylla	Standl.	8	-3.6767	17.25	-90.5	-72.449889	63	354	997	0	0	1	15
Clusiaceae	Clusia talamancana	Hammel	2	8.9	9.91	-84.16	-82.58333	3	24	2.62	0	0	0	NA
Clusiaceae	Clusia triflora	Cuatrec.	3	-2.4692	9.26666	-82.25	-72.8667	35	71	429	0	0	0	NA
Clusiaceae	Clusia uvitana	Pittier	4	6.0508	14.48333	-85.629361	-73.9225	61	182	254	0	0	0	9
Clusiaceae	Clusia valerii	Standl.	4	5.736765	12.5	-85	-76.36	34	151	149.26	0	0	0	17
Clusiaceae	Clusia veneralensis	Cuatrec.	2	2.73119	9.3833333	-79.5053	-72.8667	7	25	182	0	0	0	NA
Clusiaceae	Dystovomita paniculata	(Donn. Sm.) Hammel	6	-10.6658	12.5	-85.4794	-73.0808	51	224	1099	3	0.693181818181818	4	20
Clusiaceae	Garcinia intermedia	(Pittier) Hammel	13	-15.85	23	-104.406944	-66.06666	62	674	3359	0	0	0	30
Clusiaceae	Garcinia madruno	(Kunth) Hammel	15	-25.75	15.620556	-87.568611	-36.4166667	117	1281	12228	28	9.09640456579215	22	25
Clusiaceae	Garcinia magnifolia	(Pittier) Hammel	9	-14.1666667	10.4233	-84.0122	-53.0833334	42	129	5554	1	0.0303030303030303	0	20
Clusiaceae	Garcinia recondita	Hammel	5	0	18.59	-103.5	-76.16666	63	82	669	18	15.9726811317877	8	18
Clusiaceae	Symphonia globulifera	L. f.	23	-23.3303	19.4319	-96.75	-34.7992	199	2792	12622	25	6.3164288438072	38	40
Clusiaceae	Tovomita longifolia	(Rich.) Hochr.	11	-17.5342	10.033333	-84.6	-37.7239	118	442	9461	22	16.495004575961	20	20
Clusiaceae	Tovomita morii	Maguire	2	2.5	9.35833	-79.5053	-76.5833	4	14	35	0	0	0	NA
Clusiaceae	Tovomita stylosa	Hemsl.	5	-9.3	10.2681	-84.8233	-65.7	229	396	1767	20	17.8827823113687	32	8
Combretaceae	Buchenavia tetraphylla	(Aubl.) R.A. Howard	24	-20.600278	22.787222	-88.98333	-34.825556	22	731	11775	4	0.0757575757575758	5	50
Combretaceae	Combretum laxum	Jacq.	21	-27.486944	23.6166667	-105.258333	-34.863056	43	1476	14968	0	0	0	8
Combretaceae	Conocarpus erectus	L.	38	-27.6586	30.448333	-115.844167	-34.796389	84	2129	15501	0	0	5	20
Combretaceae	Laguncularia racemosa	(L.) C.F. Gaertn.	34	-28.48278	32.478611	-117.110556	-34.801944	79	1837	16158	0	0	5	12
Combretaceae	Terminalia amazonia	(J.F. Gmel.) Exell	18	-18.10833	23.6166667	-102.575	-38.950556	243	1583	10953	32	2.65902315944682	68	60
Combretaceae	Terminalia buceras	(L.) C. Wright	21	-1.88333	25.754	-102.575	-59.4383	25	335	2657	0	0	1	35
Combretaceae	Terminalia lucida	Hoffmanns. ex Mart.	15	-15.867	17.5	-96.75	-41.7517	3	166	8367	0	0	0	20
Combretaceae	Terminalia oblonga	(Ruiz & Pav.) Steud.	16	-17.73388	17.5	-96.75	-35.1958	102	815	10700	15	0.835170454545455	13	50
Connaraceae	Connarus silvanensis	Cuatrec.	2	3.8811	9.5	-79.65	-72.8667	11	15	32	0	0	0	NA
