Family	Latin	Author
Myrtaceae	Syzygium samarangense	(Blume) Merr. & L.M. Perry
Myrtaceae	Syzygium syzygioides	(Miq.) Merr. & L.M. Perry
Myrtaceae	Verticordia attenuata	A.S.George
Nyctaginaceae	Cephalotomandra fragrans	H.Karst. & Triana
Nyctaginaceae	Guapira myrtiflora	(Standl.) Little
Nyctaginaceae	Neea pittieri	Standl.
Ochnaceae	Ouratea pyramidalis	L. Riley
Oleaceae	Forestiera cartaginensis	Donn. Sm.
Oleaceae	Jasminum dichotomum	Vahl
Oleaceae	Jasminum fluminense	Vell.
Oleaceae	Jasminum grandiflorum	L.
Oleaceae	Jasminum multiflorum	(Burm. f.) Andrews
Oleaceae	Ligustrum sinense	Lour.
Onagraceae	Fuchsia hybrida	hort. ex Siebert & Voss
Opiliaceae	Agonandra brasiliensis	Miers ex Benth. & Hook. f.
Orchidaceae	Aa calceata	(Rchb. f.) Schltr.
Orchidaceae	Campylocentrum fasciola	(Lindl.) Cogn.
Orchidaceae	Campylocentrum poeppigii	(Rchb. f.) Rolfe
Orchidaceae	Campylocentrum schiedei	(Rchb. f.) Benth. ex Hemsl.
Orchidaceae	Caularthron bilamellatum	(Rchb. f.) R.E. Schultes
Orchidaceae	Condylago furculifera	Dressler & Bogarín
Orchidaceae	Cranichis muscosa	Sw.
Orchidaceae	Cranichis wageneri	Rchb. f.
Orchidaceae	Cryptarrhena guatemalensis	Schltr.
Orchidaceae	Cuitlauzina convallarioides	(Schltr.) Dressler & N.H. Williams
Orchidaceae	Dichaea trichocarpa	(Sw.) Lindl.
Orchidaceae	Elleanthus graminifolius	(Barb. Rodr.) Løjtnant
Orchidaceae	Elleanthus hymenophorus	(Rchb. f.) Rchb. f.
Orchidaceae	Epidendrum incomptum	Rchb. f.
Orchidaceae	Epidendrum paranthicum	Rchb. f.
Orchidaceae	Epidendrum peperomia	Rchb. f.
Orchidaceae	Epidendrum polyanthum	Lindl.
Orchidaceae	Epidendrum santaclarense	Ames
Orchidaceae	Epidendrum sculptum	Rchb. f.
Orchidaceae	Galeottia grandiflora	A. Rich. & Galeotti
Orchidaceae	Helleriella nicaraguensis	A.D. Hawkes
Orchidaceae	Ionopsis satyrioides	(Sw.) Rchb. f.
Orchidaceae	Kreodanthus secundus	(Ames) Garay
Orchidaceae	Liparis arnoglossophylla	Rchb. f. ex Hemsl.
Orchidaceae	Malaxis aurea	Ames
Orchidaceae	Maxillaria alba	(Hook.) Lindl.
Orchidaceae	Maxillaria maleolens	Schltr.
Orchidaceae	Maxillaria moralesii	Carnevali & J.T. Atwood
Orchidaceae	Maxillaria nasuta	Rchb. f.
Orchidaceae	Maxillaria scorpioidea	Kraenzl.
Orchidaceae	Myoxanthus octomeriae	(Schltr.) Luer
Orchidaceae	Octomeria scirpoidea	(Poepp. & Endl.) Rchb. f.
Orchidaceae	Oeceoclades maculata	(Lindl.) Lindl.
Orchidaceae	Oncidium ensatum	Lindl.
Orchidaceae	Phloeophila peperomioides	(Ames) Garay
Orchidaceae	Phragmipedium warscewiczii	(Rchb.f.) Christenson
Orchidaceae	Platystele caudatisepala	(C. Schweinf.) Garay
Orchidaceae	Platystele compacta	(Ames) Ames
Orchidaceae	Platystele jungermannioides	(Schltr.) Garay
Orchidaceae	Platystele ovalifolia	(H. Focke) Garay & Dunst.
Orchidaceae	Platystele oxyglossa	(Schltr.) Garay
Orchidaceae	Platystele resimula	Luer & Hirtz
Orchidaceae	Plectrophora alata	(Rolfe) Garay
Orchidaceae	Pleurothallis homolantha	Schltr.
Orchidaceae	Polystachya masayensis	Rchb. f.
Orchidaceae	Ponthieva tuerckheimii	Schltr.
Orchidaceae	Prosthechea abbreviata	(Schltr.) W.E. Higgins
Orchidaceae	Restrepia trichoglossa	F. Lehm. ex Sander
Orchidaceae	Rhynchostele bictoniensis	(Bateman) Soto Arenas & Salazar
Orchidaceae	Scaphosepalum microdactylum	Rolfe
Orchidaceae	Scaphyglottis prolifera	(Sw.) Cogn.
Orchidaceae	Sobralia crispissima	Dressler
Orchidaceae	Sobralia lindleyana	Rchb. f.
Orchidaceae	Stelis aemula	Schltr.
Orchidaceae	Stelis bidentata	Schltr.
Orchidaceae	Stelis despectans	Schltr.
Orchidaceae	Telipogon radiatus	Rchb. f.
Orchidaceae	Trichopilia galeottiana	A. Rich. & Galeotti
Orchidaceae	Trichopilia subulata	(Sw.) Rchb. f.
Orchidaceae	Trichopilia tortilis	Lindl.
Orchidaceae	Trichosalpinx cedralensis	(Ames) Luer
Orchidaceae	Trichosalpinx memor	(Rchb. f.) Luer
Orchidaceae	Triphora debilis	(Schltr.) Schltr.
Orchidaceae	Warrea costaricensis	Schltr.
Orobanchaceae	Alectra aspera	(Cham. & Schltdl.) L.O. Williams
Orobanchaceae	Buchnera palustris	(Aubl.) Spreng.
Oxalidaceae	Averrhoa bilimbi	L.
Oxalidaceae	Averrhoa carambola	L.
Passifloraceae	Passiflora apetala	Killip
Passifloraceae	Passiflora lancearia	Mast.
Passifloraceae	Passiflora seemannii	Griseb.
Pentaphylacaceae	Cleyera theaeoides	(Sw.) Choisy
Pentaphylacaceae	Freziera grisebachii	Krug & Urb.
Phyllanthaceae	Antidesma bunius	(L.) Spreng.
Phyllanthaceae	Phyllanthus acidus	(L.) Skeels
Phyllanthaceae	Phyllanthus amarus	Schumach. & Thonn.
Phyllanthaceae	Richeria grandis	Vahl
Phyllonomaceae	Phyllonoma laticuspis	(Turcz.) Engl.
Pinaceae	Pinus caribaea	(Sénécl.) W.H.G. Barrett & Golfari
Piperaceae	Peperomia cachabiana	C. DC.
Piperaceae	Peperomia cyclophylla	Miq.
Piperaceae	Peperomia heterophylla	Miq.
Piperaceae	Peperomia pseudoalpina	Trel.
Piperaceae	Peperomia spathophylla	Dahlst.
Piperaceae	Peperomia striata	Ruiz & Pav.
Piperaceae	Peperomia tenella	(Sw.) A. Dietr.
Piperaceae	Piper biauritum	C. DC.
Piperaceae	Piper bisasperatum	Trel.
Piperaceae	Piper biseriatum	C. DC.
Piperaceae	Piper carpinteranum	C. DC.
Piperaceae	Piper confertinodum	(Trel. & Yunck.) M.A. Jaram. & Callejas
Piperaceae	Piper coruscans	Kunth
Piperaceae	Piper figlinum	Trel.
Piperaceae	Piper gracillimum	Trel.
Piperaceae	Piper guanacostense	C. DC.
Piperaceae	Piper haughtii	Trel. & Yunck.
Piperaceae	Piper imperiale	(Miq.) C. DC.
Piperaceae	Piper malpasoensis	Tebbs
Piperaceae	Piper secundum	Ruiz & Pav.
Piperaceae	Piper silvivagum	C. DC.
Plantaginaceae	Bacopa sessiliflora	(Benth.) Edwall
Plantaginaceae	Digitalis purpurea	L.
Plantaginaceae	Plantago lanceolata	L.
Plantaginaceae	Plantago major	L.
Plantaginaceae	Stemodia angulata	Oerst.
Plantaginaceae	Veronica arvensis	L.
Plantaginaceae	Veronica persica	Poir.
Plumbaginaceae	Plumbago auriculata	Lam.
Poaceae	Agrostis turrialbae	Mez
Poaceae	Arthrostylidium excelsum	Griseb.
Poaceae	Bambusa multiplex	NA
Poaceae	Bambusa vulgaris	Schrad. ex J.C. Wendl.
Poaceae	Bothriochloa bladhii	(Retz.) S.T. Blake
Poaceae	Bothriochloa pertusa	(L.) A. Camus
Poaceae	Briza minor	L.
Poaceae	Cenchrus ciliaris	L.
Poaceae	Chusquea foliosa	L.G. Clark
Poaceae	Coix lacryma-jobi	L.
Poaceae	Cynodon dactylon	(L.) Pers.
Poaceae	Dactyloctenium aegyptium	(L.) Willd.
Poaceae	Digitaria sanguinalis	(L.) Scop.
Poaceae	Digitaria violascens	Link
Poaceae	Eleusine indica	(L.) Gaertn.
Poaceae	Eragrostis amabilis	(L.) Wight & Arn.
Poaceae	Eragrostis simpliciflora	(J. Presl) Steud.
Poaceae	Eragrostis unioloides	(Retz.) Nees ex Steud.
Poaceae	Festuca aguana	E.B. Alexeev
Poaceae	Festuca swallenii	E.B. Alexeev
Poaceae	Hackelochloa granularis	(L.) Kuntze
Poaceae	Holcus lanatus	L.
Poaceae	Hymenachne donacifolia	(Raddi) Chase
Poaceae	Hyparrhenia rufa	(Nees) Stapf
Poaceae	Lasiacis linearis	Swallen
Poaceae	Megathyrsus maximus	(Jacq.) B.K. Simon & S.W.L. Jacobs
Poaceae	Oryza sativa	L.
Poaceae	Panicum altum	Hitchc. & Chase
Poaceae	Panicum trichidiachne	Döll
Poaceae	Paspalum serpentinum	Hochst. ex Steud.
Poaceae	Phalaris minor	Retz.
Poaceae	Phragmites australis	(Cav.) Trin. ex Steud.
Poaceae	Poa annua	L.
Poaceae	Rottboellia cochinchinensis	(Lour.) Clayton
Poaceae	Setaria barbata	(Lam.) Kunth
Poaceae	Setaria palmifolia	(J. Koenig) Stapf
Poaceae	Setaria sphacelata	(Schumach.) Stapf & C.E. Hubb. ex M.B. Moss
Poaceae	Sorghum halepense	(L.) Pers.
Poaceae	Sporobolus virginicus	(L.) Kunth
Poaceae	Thrasya petrosa	(Trin.) Chase
Poaceae	Urochloa mutica	(Forssk.) T.Q. Nguyen
Polemoniaceae	Cobaea minor	M. Martens & Galeotti
Polygalaceae	Monnina speciosa	Triana & Planch.
Polygonaceae	Coccoloba excelsa	Benth.
Polygonaceae	Coccoloba venosa	L.
Polygonaceae	Fallopia convolvulus	(L.) Á. Löve
Polygonaceae	Reynoutria japonica	Houtt.
Polygonaceae	Rumex acetosella	L.
Polygonaceae	Rumex obtusifolius	L.
Polygonaceae	Symmeria paniculata	Benth.
Polypodiaceae	Ceradenia pruinosa	(Maxon) L.E. Bishop
Polypodiaceae	Enterosora parietina	(Klotzsch) L.E. Bishop
Polypodiaceae	Microgramma reptans	(Cav.) A.R. Sm.
Polypodiaceae	Pecluma hygrometrica	(Splitg.) M.G. Price
Polypodiaceae	Pleopeltis percussa	(Cav.) Hook. & Grev.
Polypodiaceae	Polypodium fraxinifolium	Jacq.
Polypodiaceae	Polypodium remotum	Desv.
Polypodiaceae	Stenogrammitis limula	(Christ) Labiak
Polypodiaceae	Terpsichore subtilis	(Kunze ex Klotzsch) A.R. Sm.
Pontederiaceae	Heteranthera spicata	C. Presl
Portulacaceae	Portulaca oleracea	L.
Primulaceae	Ardisia copeyana	Standl.
Primulaceae	Ardisia nevermannii	Standl.
Primulaceae	Ardisia obuensis	Lundell
Primulaceae	Clavija jelskii	SzyszyÅ‚.
Primulaceae	Clavija ornata	D. Don
Primulaceae	Cybianthus occigranatensis	(Cuatrec.) G. Agostini
Primulaceae	Jacquinia arborea	Vahl
Primulaceae	Myrsine guianensis	(Aubl.) Kuntze
Primulaceae	Myrsine pellucidopunctata	Oerst.
Proteaceae	Grevillea robusta	A. Cunn. ex R. Br.
Proteaceae	Roupala monosperma	(Ruiz & Pav.) I.M. Johnst.
Pteridaceae	Adiantum caryotideum	Christ
Pteridaceae	Adiantum seemannii	Hook.
Pteridaceae	Adiantum terminatum	Kunze ex Miq.
Pteridaceae	Hecistopteris pumila	(Spreng.) J. Sm.
Pteridaceae	Pteris tripartita	Sw.
Pteridaceae	Radiovittaria stipitata	(Kunze) E.H. Crane
Putranjivaceae	Drypetes amazonica	Steyerm.
Ranunculaceae	Ranunculus flagelliformis	Sm.
Rhamnaceae	Colubrina arborescens	(Mill.) Sarg.
Rhamnaceae	Gouania velutina	Reissek
Rhamnaceae	Ziziphus mauritiana	Lam.
Rhizophoraceae	Cassipourea guianensis	Aubl.
Rosaceae	Crataegus cuprina	J.B. Phipps
Rosaceae	Eriobotrya japonica	(Thunb.) Lindl.
Rosaceae	Prunus brachybotrya	Zucc.
Rosaceae	Prunus occidentalis	Sw.
Rosaceae	Rosa spinosissima	L.
Rosaceae	Rubus schiedeanus	Steud.
Rosaceae	Spiraea cantoniensis	Zabel
Rubiaceae	Appunia tenuiflora	(Benth.) Jacks. & Hook. f.
Rubiaceae	Augusta rivalis	(Benth.) J.H. Kirkbr.
Rubiaceae	Bertiera parviflora	Spruce ex K. Schum.
Rubiaceae	Cephaelis involucrata	Willd.
Rubiaceae	Coccocypselum lanceolatum	(Ruiz & Pav.) Pers.
Rubiaceae	Coffea arabica	L.
Rubiaceae	Coffea liberica	W. Bull ex Hiern
Rubiaceae	Coussarea megistophylla	Standl.
Rubiaceae	Declieuxia fruticosa	(Willd. ex Roem. & Schult.) Kuntze
Rubiaceae	Elaeagia mariae	Wedd.
Rubiaceae	Evea emetica	(L. f.) Stellfeld
Rubiaceae	Exostema caribaeum	(Jacq.) Schult.
Rubiaceae	Faramea uniflora	Dwyer & M.V. Hayden
Rubiaceae	Gonzalagunia rudis	(Standl.) Standl.
Rubiaceae	Guettarda macrosperma	Donn. Sm.
Rubiaceae	Guettarda odorata	(Jacq.) Lam.
Rubiaceae	Hamelia magnifolia	Wernham
Rubiaceae	Hoffmannia asclepiadea	Standl.
Rubiaceae	Hoffmannia regalis	(Hook.) Hemsl.
Rubiaceae	Isertia hypoleuca	Benth.
Rubiaceae	Ixora casei	Hance
Rubiaceae	Ixora coccinea	L.
Rubiaceae	Ixora finlaysoniana	Wall. ex G. Don
Rubiaceae	Ixora sparsiflora	Elmer
Rubiaceae	Ixora ulei	K. Krause
Rubiaceae	Joosia umbellifera	H. Karst.
Rubiaceae	Machaonia coulteri	(Hook. f. ex Benth. & Hook.) Standl.
Rubiaceae	Morinda citrifolia	L.
Rubiaceae	Mussaenda erythrophylla	Schumach. & Thonn.
Rubiaceae	Notopleura epiphytica	(K. Krause) C.M. Taylor
Rubiaceae	Notopleura siggersiana	(Standl.) C.M. Taylor
Rubiaceae	Oldenlandiopsis callitrichoides	(Griseb.) Terrell & W.H. Lewis
Rubiaceae	Palicourea acanthacea	C.M.Taylor
Rubiaceae	Palicourea fastigiata	Kunth
Rubiaceae	Palicourea perquadrangularis	Wernham
Rubiaceae	Palicourea spathacea	C.M. Taylor
Rubiaceae	Pittoniotis trichantha	Griseb.
Rubiaceae	Pogonopus speciosus	(Jacq.) K. Schum.
Rubiaceae	Psychotria bracteocardia	(DC.) Müll. Arg.
Rubiaceae	Psychotria cuspidata	Bredem. ex Schult.
Rubiaceae	Psychotria harrisiana	Urb.
Rubiaceae	Psychotria laselvensis	C.W. Ham.
Rubiaceae	Psychotria lorencei	Dwyer
Rubiaceae	Psychotria officinalis	(Aubl.) Raeusch. ex Sandwith
Rubiaceae	Psychotria psychotrioides	(DC.) Roberty
Rubiaceae	Psychotria stenostachya	Standl.
Rubiaceae	Psychotria zevallosii	C.M. Taylor
Rubiaceae	Randia matudae	Lorence & Dwyer
Rubiaceae	Rosenbergiodendron longiflorum	(Ruiz & Pav.) Fagerl.
Rubiaceae	Rudgea llano-cartiensis	Dwyer
Rubiaceae	Rudgea magna	Standl.
Rubiaceae	Schradera blumii	Dwyer & M.V.Hayden
Rubiaceae	Sommera grandis	(Bartl. ex DC.) Standl.
Rubiaceae	Sommera smithii	Donn. Sm. & Standl.
Rubiaceae	Warszewiczia uxpanapensis	(Lorence) C.M. Taylor
Rutaceae	Amyris elemifera	L.
Rutaceae	Citrus aurantiifolia	(Christm.) Swingle
Rutaceae	Citrus aurantium	L.
Rutaceae	Citrus limon	(L.) Burm. f.
Rutaceae	Citrus maxima	(Burm.) Merr.
Rutaceae	Citrus reticulata	Blanco
Rutaceae	Citrus sinensis	(L.) Osbeck
Rutaceae	Esenbeckia alata	(H.Karst. & Triana) Triana & Planch.
Rutaceae	Murraya exotica	L.
Rutaceae	Neoraputia paraensis	(Ducke) Emmerich
Rutaceae	Zanthoxylum fagara	(L.) Sarg.
Rutaceae	Zanthoxylum harrisii	P. Wilson
Rutaceae	Zanthoxylum rhoifolium	Lam.
Sabiaceae	Meliosma donnellsmithii	Urb.
Salicaceae	Abatia rugosa	Ruiz & Pav.
Salicaceae	Casearia grandiflora	Cambess.
Salicaceae	Flacourtia indica	(Burm. f.) Merr.
Salicaceae	Flacourtia jangomas	(Lour.) Raeusch.
Salicaceae	Neosprucea grandiflora	(Spruce ex Benth.) Sleumer
Salicaceae	Xylosma quichensis	Donn. Sm.
Salicaceae	Xylosma velutina	(Tul.) Triana & Planch.
Santalaceae	Antidaphne viscoidea	Poepp. & Endl.
Santalaceae	Dendrophthora costaricensis	Urb.
Santalaceae	Dendrophthora obliqua	(C. Presl) Wiens
Santalaceae	Phoradendron chrysocladon	A. Gray
Santalaceae	Phoradendron undulatum	(Pohl ex DC.) Eichler
Sapindaceae	Allophylus punctatus	(Poepp.) Radlk.
Sapindaceae	Blighia sapida	K.D. Koenig
Sapindaceae	Cupania hirsuta	Radlk.
Sapindaceae	Dimocarpus longan	Lour.
Sapindaceae	Melicoccus bijugatus	Jacq.
Sapindaceae	Paullinia turbacensis	Kunth
Sapindaceae	Serjania insignis	Radlk.
Sapindaceae	Serjania trachygona	Radlk.
Sapindaceae	Serjania trifoliolata	Radlk.
Sapindaceae	Talisia cerasina	Radlk.
Sapindaceae	Toulicia reticulata	Radlk.
Sapotaceae	Chrysophyllum mexicanum	Brandegee ex Standl.
Sapotaceae	Chrysophyllum obtusifolium	NA
Sapotaceae	Ecclinusa guianensis	Eyma
Sapotaceae	Manilkara zapota	(L.) P. Royen
Sapotaceae	Mimusops elengi	L.
Sapotaceae	Pouteria dominigensis	(C.F. Gaertn.) Baehni
Sapotaceae	Pouteria engleri	Eyma
Sapotaceae	Pouteria ephedrantha	(A.C. Sm.) T.D. Penn.
Sapotaceae	Pouteria exfoliata	T.D. Penn.
Sapotaceae	Pouteria filipes	Eyma
Sapotaceae	Pouteria grandiflora	(A. DC.) Baehni
Sapotaceae	Pouteria procera	(Mart.) K. Hammer
Sapotaceae	Pouteria rata	NA
Sapotaceae	Pouteria sapota	(Jacq.) H.E. Moore & Stearn
Sapotaceae	Pouteria speciosa	(Ducke) Baehni
Sapotaceae	Sideroxylon obtusifolium	(Roem. & Schult.) T.D.Penn.
Sapotaceae	Synsepalum dulcificum	(Schumach. & Thonn.) Daniell
Scrophulariaceae	Buddleja davidii	Franch.
Selaginellaceae	Selaginella corrugis	Mickel & Beitel
Selaginellaceae	Selaginella huehuetenangensis	Hieron.
Selaginellaceae	Selaginella popayanensis	Hieron.
Simaroubaceae	Simaba guianensis	Aubl.
Siparunaceae	Siparuna aspera	(Ruiz & Pav.) A. DC.
Siparunaceae	Siparuna crassiflora	Perkins
Solanaceae	Acnistus arborescens	(L.) Schltdl.
Solanaceae	Brachistus stramoniifolius	(Kunth) Miers
Solanaceae	Brugmansia candida	Pers.
Solanaceae	Brugmansia suaveolens	(Humb. & Bonpl. ex Willd.) Bercht. & C. Presl
Solanaceae	Brunfelsia grandiflora	D. Don
Solanaceae	Brunfelsia undulata	Sw.
Solanaceae	Capsicum annuum	L.
Solanaceae	Capsicum chinense	Jacq.
Solanaceae	Cestrum dunalii	Francey
Solanaceae	Jaltomata repandidentata	(Dunal) Hunz.
Solanaceae	Lycianthes radiata	(Sendtn.) Bitter
Solanaceae	Markea megalandra	(Dunal) D'Arcy
Solanaceae	Solanum aligerum	Schltdl.
Solanaceae	Solanum asperolanatum	Ruiz & Pav.
Solanaceae	Solanum commersonii	NA
Solanaceae	Solanum conicum	Ruiz & Pav.
Solanaceae	Solanum diversiflorum	F. Muell.
Solanaceae	Solanum fendleri	Van Heurck & Müll. Arg.
Solanaceae	Solanum glaucophyllum	Desf.
Solanaceae	Solanum hispidum	Pers.
Solanaceae	Solanum intermedium	Sendtn.
Solanaceae	Solanum lancifolium	Sessé & Moc.
Solanaceae	Solanum lycopersicum	L.
Solanaceae	Solanum melongena	L.
Solanaceae	Solanum nigrum	L.
Solanaceae	Solanum oxycarpum	Schiede
Solanaceae	Solanum physalifolium	Rusby
Solanaceae	Solanum pseudocapsicum	L.
Solanaceae	Solanum quitoense	Lam.
Solanaceae	Solanum roseum	Bohs
Solanaceae	Solanum scabrum	Mill.
Solanaceae	Solanum stramoniifolium	Jacq.
Solanaceae	Solanum tuberosum	L.
Solanaceae	Solanum vaillantii	Dunal
Solanaceae	Witheringia synanthera	Hunz.
Sphenocleaceae	Sphenoclea zeylanica	Gaertn.
Styracaceae	Styrax conterminus	Donn. Sm.
Surianaceae	Suriana maritima	L.
Theaceae	Camellia japonica	L.
Thelypteridaceae	Macrothelypteris torresiana	(Gaudich.) Ching
Thelypteridaceae	Thelypteris dentata	(Forssk.) E.P. St. John
Thelypteridaceae	Thelypteris glandulosa	(Desv.) Proctor
Thelypteridaceae	Thelypteris minor	(C. Chr.) A.R. Sm.
Thelypteridaceae	Thelypteris nicaraguensis	(E. Fourn.) C.V. Morton
Trigoniaceae	Trigonia rugosa	Benth.
Tropaeolaceae	Tropaeolum moritzianum	Klotzsch
Ulmaceae	Ampelocera hottlei	(Standl.) Standl.
Urticaceae	Boehmeria pavonii	Wedd.
Urticaceae	Coussapoa ovalifolia	Trécul
Urticaceae	Coussapoa purpusii	Standl.
Urticaceae	Myriocarpa cordifolia	Liebm.
Urticaceae	Pilea mexicana	Wedd.
Urticaceae	Pilea vulcanica	Liebm.
Urticaceae	Pourouma guianensis	NA
Urticaceae	Urera elata	(Sw.) Griseb.
Verbenaceae	Citharexylum guatemalense	(Moldenke) D.N. Gibson
Verbenaceae	Citharexylum spinosum	L.
Violaceae	Hybanthus guanacastensis	Standl.
Violaceae	Leonia cymosa	Mart.
Violaceae	Paypayrola grandiflora	Tul.
Violaceae	Paypayrola guianensis	Aubl.
Violaceae	Rinorea ovalifolia	(Britton) S.F. Blake
Vochysiaceae	Qualea paraensis	Ducke
Xanthorrhoeaceae	Hemerocallis fulva	(L.) L.
Zamiaceae	Zamia roezlii	Linden
Zingiberaceae	Hedychium coronarium	J. Koenig
Zingiberaceae	Zingiber zerumbet	(L.) Roscoe ex Sm.
