"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"boropa","boropa","boropa","BORP","Gentianales","Rubiaceae","Alibertia dwyeri","Delprete & C.H. Perss.","Borojoa panamensis",NA,"Freestanding","Alibertia dwyeri","Delprete & C.H.Perss.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Alibertia dwyeri",7729119,"Alibertia dwyeri-BOROPA-BORP"
"alibed","alibed","alibed","ALIE","Gentianales","Rubiaceae","Alibertia edulis","(Rich.) A. Rich. ex DC.",NA,"R. Pérez 2084","Freestanding","Alibertia edulis","(Rich.) A.Rich. ex DC.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Alibertia edulis",5335670,"Alibertia edulis-ALIBED-ALIE"
"allaca","allaca",NA,"ALLC","Gentianales","Apocynaceae","Allamanda cathartica","L.",NA,NA,"Climbing","Allamanda cathartica","L.","species","Apocynaceae",FALSE,NA,FALSE,NA,"Allamanda cathartica",3169836,"Allamanda cathartica-ALLACA-ALLC"
"allops","allops","allops","ALLP","Sapindales","Sapindaceae","Allophylus psilospermus","Radlk.",NA,"R. Pérez 1953","Freestanding","Allophylus psilospermus","Radlk.","species","Sapindaceae",FALSE,FALSE,FALSE,NA,"Allophylus psilospermus",5577078,"Allophylus psilospermus-ALLOPS-ALLP"
"alsebl","alsebl","alsebl","ALSB","Gentianales","Rubiaceae","Alseis blackiana","Hemsl.",NA,"R. Pérez 1951","Freestanding","Alseis blackiana","Hemsl.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Alseis blackiana",5334873,"Alseis blackiana-ALSEBL-ALSB"
"amaico","amaico","amaico","AMAC","Gentianales","Rubiaceae","Amaioua glomerulata","(Lam. ex Poir.) Delprete & C.H. Perss.","Amaioua corymbosa","R. Pérez 2282","Freestanding","Amaioua glomerulata","(Lam. ex Poir.) Delprete & C.H.Perss.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Amaioua glomerulata",7686451,"Amaioua glomerulata-AMAICO-AMAC"
"amp3cr","amp3cr",NA,"PITC","Lamiales","Bignoniaceae","Amphilophium crucigerum","(L.) L.G. Lohmann","Pithecoctenium crucigerum",NA,"Climbing","Amphilophium crucigerum","(L.) L.G.Lohmann","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Amphilophium crucigerum",4931838,"Amphilophium crucigerum-AMP3CR-PITC"
"amp3pa","amp3pa",NA,"AMPP","Lamiales","Bignoniaceae","Amphilophium paniculatum","(L.) Kunth",NA,"R. Pérez 2103 y 2214 (PMA, SCZ)","Climbing","Amphilophium paniculatum","(L.) Kunth","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Amphilophium paniculatum",3172589,"Amphilophium paniculatum-AMP3PA-AMPP"
"anacex","anacex","anacex","ANAE","Sapindales","Anacardiaceae","Anacardium excelsum","(Bertero & Balb. ex Kunth) Skeels",NA,"R. Pérez 1810 y 1195 (PMA, SCZ)","Freestanding","Anacardium excelsum","(Bertero & Balb. ex Kunth) Skeels","species","Anacardiaceae",FALSE,FALSE,FALSE,NA,"Anacardium excelsum",5544303,"Anacardium excelsum-ANACEX-ANAE"
"anacoc","anacoc","anacoc","ANAO","Sapindales","Anacardiaceae","Anacardium occidentale","L.",NA,NA,"Freestanding","Anacardium occidentale","L.","species","Anacardiaceae",FALSE,FALSE,FALSE,NA,"Anacardium occidentale",5421368,"Anacardium occidentale-ANACOC-ANAO"
"anaxpa","anaxpa","anaxpa","ANAP","Magnoliales","Annonaceae","Anaxagorea panamensis","Standl.",NA,"R. Pérez 2190 (PMA, SCZ)","Freestanding","Anaxagorea panamensis","Standl.","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Anaxagorea panamensis",3156864,"Anaxagorea panamensis-ANAXPA-ANAP"
"vignpe","vignpe",NA,"PHA1","Fabales","Fabaceae","Ancistrotropis peduncularis","(Fawc. & Rendle) A. Delgado","Vigna peduncularis",NA,"Climbing","Ancistrotropis peduncularis","(Fawc. & Rendle) A.Delgado","species","Fabaceae",FALSE,NA,FALSE,NA,"Ancistrotropis peduncularis",7484829,"Ancistrotropis peduncularis-VIGNPE-PHA1"
"andiin","andiin","andiin","ANDI","Fabales","Fabaceae","Andira inermis","(W. Wright) Kunth ex DC.",NA,"R. Pérez 1923 (PMA, SCZ)","Freestanding","Andira inermis","(W.Wright) Kunth ex DC.","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Andira inermis",2952214,"Andira inermis-ANDIIN-ANDI"
"anemc1","anemc1",NA,NA,"Lamiales","Bignoniaceae","Anemopaegma chrysoleucum","(Kunth) Sandwith",NA,NA,"Climbing","Anemopaegma chrysoleucum","(Kunth) Sandwith","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Anemopaegma chrysoleucum",4093499,"Anemopaegma chrysoleucum-ANEMC1"
"iseilu","iseilu",NA,"ISEL","Solanales","Convolvulaceae","Aniseia luxurians","(Moric.) Athiê-Souza & Buril","Iseia luxurians",NA,"Climbing","Aniseia luxurians","(Moric.) Athiê-Souza & Buril","species","Convolvulaceae",FALSE,NA,FALSE,NA,"Aniseia luxurians",9730688,"Aniseia luxurians-ISEILU-ISEL"
"anisma","anisma",NA,NA,"Solanales","Convolvulaceae","Aniseia martinicensis","(Jacq.) Choisy",NA,NA,"Climbing","Aniseia martinicensis","(Jacq.) Choisy","species","Convolvulaceae",FALSE,NA,FALSE,NA,"Aniseia martinicensis",2928410,"Aniseia martinicensis-ANISMA"
"annoac","annoac","annoac","ANNA","Magnoliales","Annonaceae","Annona acuminata","Saff.",NA,"R. Pérez 1767 y 1832 (PMA, SCZ)","Freestanding","Annona acuminata","Saff.","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Annona acuminata",5407198,"Annona acuminata-ANNOAC-ANNA"
"annogl","annogl","annogl","ANNG","Magnoliales","Annonaceae","Annona glabra","L.",NA,NA,"Freestanding","Annona glabra","L.","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Annona glabra",5407100,"Annona glabra-ANNOGL-ANNG"
"annoha","annoha","annoha","ANNH","Magnoliales","Annonaceae","Annona hayesii","Saff.",NA,"R. Pérez 2066 (PMA, SCZ)","Freestanding","Annona hayesii","Saff.","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Annona hayesii",7539280,"Annona hayesii-ANNOHA-ANNH"
"annomu","annomu","annomu","ANNM","Magnoliales","Annonaceae","Annona muricata","L.",NA,NA,"Freestanding","Annona muricata","L.","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Annona muricata",5407273,"Annona muricata-ANNOMU-ANNM"
"annopu","annopu","annopu",NA,"Magnoliales","Annonaceae","Annona purpurea","Moc. & Sessé ex Dunal",NA,"R. Pérez 2261 (PMA, SCZ)","Freestanding","Annona purpurea","Moc. & Sessé ex Dunal","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Annona purpurea",5407091,"Annona purpurea-ANNOPU"
"annosp","annosp","annosp","ANNS","Magnoliales","Annonaceae","Annona spraguei","Saff.",NA,"R. Pérez 1952 y 2064 (PMA, SCZ)","Freestanding","Annona spraguei","Saff.","species","Annonaceae",FALSE,FALSE,FALSE,NA,"Annona spraguei",5407072,"Annona spraguei-ANNOSP-ANNS"
"ant2pa","ant2pa",NA,"ANTP","Celastrales","Celastraceae","Anthodon panamense","A.C. Sm.",NA,"R. Pérez 2167 y 2226 (PMA, SCZ)","Climbing","Anthodon panamense","A.C.Sm.","species","Celastraceae",FALSE,NA,FALSE,NA,"Anthodon decussatum",5579479,"Anthodon panamense-ANT2PA-ANTP"
"apeime","apeime","apeime","APEM","Malvales","Malvaceae","Apeiba membranacea","Spruce ex Benth.",NA,NA,"Freestanding","Apeiba membranacea","Spruce ex Benth.","species","Malvaceae",FALSE,FALSE,FALSE,NA,"Apeiba membranacea",4260481,"Apeiba membranacea-APEIME-APEM"
"apeiti","apeiti","apeiti","APET","Malvales","Malvaceae","Apeiba tibourbou","Aubl.",NA,NA,"Freestanding","Apeiba tibourbou","Aubl.","species","Malvaceae",FALSE,FALSE,FALSE,NA,"Apeiba tibourbou",3152052,"Apeiba tibourbou-APEITI-APET"
"aphesi","aphesi","aphesi","APHS","Lamiales","Acanthaceae","Aphelandra sinclairiana","Nees",NA,"R. Pérez 1797 (PMA, SCZ)","Freestanding","Aphelandra sinclairiana","Nees","species","Acanthaceae",FALSE,FALSE,FALSE,NA,"Aphelandra sinclairiana",3776906,"Aphelandra sinclairiana-APHESI-APHS"
"arauco","arauco",NA,NA,"Araucariales","Araucariaceae","Araucaria columnaris","(J.R. Forst.) Hook.",NA,NA,"Freestanding","Araucaria columnaris","(G.Forst.) Hook.","species","Araucariaceae",FALSE,NA,FALSE,NA,"Araucaria columnaris",2684921,"Araucaria columnaris-ARAUCO"
"ardiba","ardiba","ardiba","ARDB","Ericales","Primulaceae","Ardisia bartletii","Lundell",NA,"R. Pérez 2125","Freestanding","Ardisia bartletii","Lundell","species","Primulaceae",TRUE,FALSE,FALSE,"Spelling corrected in Current_name.","Ardisia bartletii",7330940,"Ardisia bartletii-ARDIBA-ARDB"
"ardico","ardico",NA,NA,"Ericales","Primulaceae","Ardisia colombiana","Lundell",NA,NA,"Freestanding","Ardisia colombiana","Lundell","species","Primulaceae",FALSE,NA,FALSE,NA,"Ardisia colombiana",5557236,"Ardisia colombiana-ARDICO"
