taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit
Castilla elastica-CASTEL-CAS4,7531920,Castilla elastica,Freestanding
Cavanillesia platanifolia-CAVAPL-CAVP,4073280,Cavanillesia platanifolia,Freestanding
Cecropia insignis-CECRIN-CECI,4013292,Cecropia insignis,Freestanding
Cecropia longipes-CECRLO-CECL,4013134,Cecropia longipes,Freestanding
Cecropia obtusifolia-CECROB-CECO,2984473,Cecropia obtusifolia,Freestanding
Cecropia peltata-CECRPE-CECP,2984476,Cecropia peltata,Freestanding
Cedrela odorata-CEDROD-CEDO,3190511,Cedrela odorata,Freestanding
Ceiba pentandra-CEIBPE-CEIP,5406697,Ceiba pentandra,Freestanding
Celtis schippii-CELTSC-CELS,4159734,Celtis schippii,Freestanding
Cespedesia spathulata-CESPMA-CES1,3695801,Cespedesia spathulata,Freestanding
Cestrum latifolium-CESTLA-CESL,8131064,Cestrum latifolium,Freestanding
Cestrum racemosum-CESTRA-CESR,7299919,Cestrum racemosum,Freestanding
Cestrum schlechtendalii-CESTME-CES2,3801334,Cestrum schlechtendalii,Freestanding
Chamaedorea tepejilote-CHA1TE-CHAW,2734551,Chamaedorea tepejilote,Freestanding
Chamguava schippii-CHA2SC-PSIA,3186028,Chamguava schippii,Freestanding
Chrysochlamys eclipes-CHR1EC-CHRE,5555749,Chrysochlamys eclipes,Freestanding
Chrysochlamys myrcioides-CHR1GR,5555719,Chrysochlamys myrcioides,Freestanding
Chrysochlamys nicaraguensis-CHR1NI-TOVN,5555717,Chrysochlamys nicaraguensis,Freestanding
Chrysophyllum argenteum-CHR2AR-CHRA,2885742,Chrysophyllum argenteum,Freestanding
Chrysophyllum cainito-CHR2CA-CHRC,2885828,Chrysophyllum cainito,Freestanding
Citrus aurantium-CITRAU,8077391,Citrus aurantium,Freestanding
Citrus maxima-CITRMA,3190160,Citrus maxima,Freestanding
Clusia flavida-CLUSFL-HAVF,5556500,Clusia flavida,Freestanding
Clusia minor-CLUSMI-CLU1,5421056,Clusia minor,Freestanding
Clusia odorata-CLUO,5421056,Clusia minor,Freestanding
Clusia peninsulae,7953603,Clusia peninsulae,Freestanding
Clusia uvitana-CLUU,5555867,Clusia uvitana,Freestanding
Coccoloba acuminata-COCCA2-COC2,7291417,Coccoloba acuminata,Freestanding
Coccoloba coronata-COCCCO-COCC,4033276,Coccoloba coronata,Freestanding
Coccoloba johnstonii-COCCJO-COC1,4038317,Coccoloba johnstonii,Freestanding
Coccoloba manzinellensis-COCCMA-COCM,4037724,Coccoloba manzinellensis,Freestanding
Coccoloba obovata-COCCOB,4037016,Coccoloba obovata,Freestanding
Cochlospermum vitifolium-COCHVI-COCV,2874865,Cochlospermum vitifolium,Freestanding
Cocos nucifera-COCONU,2735117,Cocos nucifera,Freestanding
Codiaeum variegatum-CODIVA,3071476,Codiaeum variegatum,Freestanding
Cojoba rufescens-PIT1RU-PITR,2981328,Cojoba rufescens,Freestanding
Colubrina glandulosa-COLUGL-COLG,5372466,Colubrina glandulosa,Freestanding
Cordia alliodora-CORDAL-CORA,7649215,Cordia alliodora,Freestanding
Cordia bicolor-CORDBI-CORB,5660135,Cordia bicolor,Freestanding
Cordia lasiocalyx-CORDLA-CORL,5661744,Cordia lasiocalyx,Freestanding
Cordia panamensis-CORDPA-CORP,5341268,Cordia panamensis,Freestanding
Cordia-CORD7,2900865,Cordia,Freestanding
Cosmibuena grandiflora-COSMGR-COSS,5334638,Cosmibuena grandiflora,Freestanding
Cosmibuena macrocarpa-COSMMA,5334661,Cosmibuena macrocarpa,Freestanding
Couratari guianensis-COURPA-COUP,3083111,Couratari guianensis,Freestanding
Coussarea loftonii-COU2LO,2904779,Coussarea loftonii,Freestanding
Coussarea suaveolens-COU2CU-COUC,12185704,Coussarea suaveolens,Freestanding
Coutarea hexandra-COUTHE-COUH,2893703,Coutarea hexandra,Freestanding
Crateva tapia-CRATTA,3054262,Crateva tapia,Freestanding
Croton billbergianus-CROTBI-CROB,3059312,Croton billbergianus,Freestanding
Cryosophila warscewiczii-CRYOWA-CRYW,2731949,Cryosophila warscewiczii,Freestanding
Cupania americana,3189961,Cupania americana,Freestanding
Cupania cinerea-CUPACI-CUPC,3785984,Cupania cinerea,Freestanding
Cupania latifolia-CUPALA-CUPL,3785309,Cupania latifolia,Freestanding
Cupania rufescens-CUPARU-CUPR,3784726,Cupania rufescens,Freestanding
Cupania seemannii-CUPASY-CUPS,7264754,Cupania seemannii,Freestanding
Cyathea petiolata-CNEMPE-CNEP,3598477,Cyathea petiolata,Freestanding
Cynometra bauhiniifolia-CYNOBA-CYNB,2966847,Cynometra bauhiniifolia,Freestanding
Dalbergia ecastaphyllum-DALBEC,2968593,Dalbergia ecastaphyllum,Freestanding
Dalbergia monetaria-DALBMO-DALM,8743558,Dalbergia ovalis,Freestanding
Dalbergia retusa-DALBRE-DALR,2968539,Dalbergia retusa,Freestanding
Damburneya martinicensis-NECTMA,9508023,Damburneya martinicensis,Freestanding
Damburneya purpurea-NECTPU-NECP,9503920,Damburneya purpurea,Freestanding
Damburneya umbrosa-NECTUM-NECU,9607650,Damburneya umbrosa,Freestanding
Dendropanax arboreus-DENDAR-DENA,3035093,Dendropanax arboreus,Freestanding
Desmopsis panamensis-DES2PA-DESP,3158129,Desmopsis panamensis,Freestanding
Dialium guianense-DIALGU-DIAG,2971008,Dialium guianense,Freestanding
