"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","habit"
"Aphelandra",3173228,"Aphelandra",""
"Aphelandra sinclairiana-APHESI-APHS",3776906,"Aphelandra sinclairiana","Freestanding"
"Apocynaceae",6701,"Apocynaceae",""
"Appunia",7271094,"Appunia",""
"Aquifoliaceae",6716,"Aquifoliaceae",""
"Araceae",6979,"Araceae",""
"Arachnothryx",2917940,"Arachnothryx",""
"Aralia",3036858,"Aralia",""
"Araliaceae",8800,"Araliaceae",""
"Araucaria",2684910,"Araucaria",""
"Araucaria columnaris-ARAUCO",2684921,"Araucaria columnaris","Freestanding"
"Araucariaceae",3924,"Araucariaceae",""
"Arawakia",10036167,"Arawakia",""
"Ardisia",3169458,"Ardisia",""
"Ardisia bartletii-ARDIBA-ARDB",7330940,"Ardisia bartletii","Freestanding"
"Ardisia colombiana-ARDICO",5557236,"Ardisia colombiana","Freestanding"
"Ardisia copeyana-ARDIFE-ARDF",5558881,"Ardisia copeyana","Freestanding"
"Ardisia fruticosa-ARDIFR",5558487,"Ardisia fruticosa","Freestanding"
"Ardisia guianensis-ARDIGU-ARDG",5558301,"Ardisia guianensis","Freestanding"
"Ardisia opaca-ARDIOP",5558709,"Ardisia opaca","Freestanding"
"Ardisia pellucida-ARDIPE-ARDP",7331109,"Ardisia pellucida","Freestanding"
"Ardisia subsessilifolia-ARDIS2",5557580,"Ardisia subsessilifolia","Freestanding"
"Arecaceae",7681,"Arecaceae",""
"Argyreia",2928690,"Argyreia",""
"Aristolochia",2873978,"Aristolochia",""
"Aristolochia cordiflora-ARISCO",3589029,"Aristolochia cordiflora","Climbing"
"Aristolochia maxima-ARISMA-ARIM",2873997,"Aristolochia maxima","Climbing"
"Aristolochia pfeiferi-ARISPF",3588463,"Aristolochia tonduzii","Climbing"
"Aristolochia pilosa-ARISPI-ARIP",7313612,"Aristolochia pilosa","Climbing"
"Aristolochia tonduzii-ARISTO-ARIC",3588463,"Aristolochia tonduzii","Climbing"
"Aristolochiaceae",3066,"Aristolochiaceae",""
"Artocarpus",2984563,"Artocarpus",""
"Artocarpus altilis-ARTOAL",2984573,"Artocarpus altilis","Freestanding"
"Aspidosperma",7316607,"Aspidosperma",""
"Aspidosperma desmanthum-ASPICR-ASPC",3618792,"Aspidosperma desmanthum","Freestanding"
"Aspidosperma excelsum-ASPIEX",3618555,"Aspidosperma excelsum","Freestanding"
"Asteraceae",3065,"Asteraceae",""
"Asterogyne",2732597,"Asterogyne",""
"Astrocaryum",2738048,"Astrocaryum",""
"Astrocaryum standleyanum-AST1ST-ASTS",2738130,"Astrocaryum standleyanum","Freestanding"
"Astronium",7321564,"Astronium",""
"Astronium graveolens-AST2GR-ASTG",7321588,"Astronium graveolens","Freestanding"
"Ateleia",7832695,"Ateleia",""
"Attalea",2732664,"Attalea",""
"Attalea butyracea-SCH1ZO-ATTB",2732721,"Attalea butyracea","Freestanding"
